BattSchedule_MW,SOC_percent,EnergyPriceDA_AUDperMWh,EnergyProfit_AUD,L1SCapacity,L1SPrice_AUDperMW,L1SRev_AUD,R6SCapacity,R6SPrice_AUDperMW,R6SRev_AUD,R1SCapacity,R1SPrice_AUDperMW,R1SRev_AUD,R60SCapacity,R60SPrice_AUDperMW,R60SRev_AUD,L60SCapacity,L60SPrice_AUDperMW,L60SRev_AUD,RREGCapacity,RREGPrice_AUDperMW,RREGRev_AUD,LREGCapacity,LREGPrice_AUDperMW,LREGRev_AUD,R5MCapacity,R5MPrice_AUDperMW,R5MRev_AUD,L6SCapacity,L6SPrice_AUDperMW,L6SRev_AUD,CapacityObligation
1.00,0.50,106.91,98.57,0.00,0.00,0.00,0.00,0.48,0.00,0.00,0.00,0.00,0.00,0.52,0.00,0.00,0.96,0.00,-0.00,7.77,-0.00,0.50,3.35,1.68,0.00,0.45,0.00,0.00,0.45,0.00,0.00
0.50,0.25,95.75,44.14,0.00,0.00,0.00,0.00,0.88,0.00,0.00,0.00,0.00,0.00,0.86,0.00,0.00,1.23,0.00,0.50,10.38,4.78,0.50,3.98,1.99,0.00,0.52,0.00,0.50,0.75,0.37,0.00
0.00,0.13,83.65,0.00,0.00,0.00,0.00,0.25,0.47,0.11,0.00,0.00,0.00,0.25,0.49,0.11,0.00,0.93,0.00,0.50,8.20,3.78,0.50,3.52,1.76,0.00,0.41,0.00,0.50,0.53,0.26,0.00
0.00,0.13,76.47,0.00,0.00,0.00,0.00,0.00,0.41,0.00,0.00,0.00,0.00,0.35,0.46,0.15,0.50,1.79,0.90,0.50,5.67,2.62,0.50,3.79,1.90,0.15,0.46,0.06,-0.00,0.84,-0.00,0.00
0.00,0.12,69.89,0.00,0.00,0.00,0.00,0.00,0.44,0.00,0.00,0.00,0.00,0.37,0.64,0.22,0.50,4.79,2.40,0.50,5.07,2.34,0.50,6.16,3.08,0.13,0.49,0.06,-0.00,3.59,-0.00,0.00
0.00,0.12,62.62,0.00,0.00,0.00,0.00,0.00,0.64,0.00,0.00,0.00,0.00,0.50,0.87,0.40,0.50,7.43,3.72,0.50,5.11,2.35,0.50,8.27,4.14,-0.00,0.45,-0.00,-0.00,3.11,-0.00,0.00
-0.81,0.12,-3.18,2.57,0.00,0.00,0.00,0.00,1.90,0.00,0.00,0.00,0.00,0.00,1.11,0.00,0.00,26.43,0.00,0.50,6.07,2.80,0.19,35.99,6.87,0.00,0.45,0.00,0.00,7.02,0.00,0.00
-0.02,0.30,-43.86,1.00,0.00,0.00,0.00,0.00,0.84,0.00,0.00,0.00,0.00,0.00,0.78,0.00,0.48,77.02,36.75,0.50,6.68,3.08,0.50,93.53,46.76,0.00,0.40,0.00,0.00,11.07,0.00,0.00
-0.50,0.32,-48.63,24.32,0.00,0.00,0.00,0.00,0.44,0.00,0.00,0.00,0.00,0.00,0.93,0.00,0.00,62.42,0.00,0.50,11.72,5.40,0.50,87.32,43.66,0.00,0.45,0.00,0.00,16.99,0.00,0.00
-1.00,0.43,-53.16,53.16,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,1.02,0.00,0.00,56.68,0.00,0.50,16.13,7.44,-0.00,78.13,-0.00,0.00,0.52,0.00,0.00,19.69,0.00,0.00
