BattSchedule_MW,SOC_percent,EnergyPriceDA_USDperMWh,EnergyProfit_USD,non_spinCapacity,non_spinPrice_USDperMW,non_spinRev_USD,spinCapacity,spinPrice_USDperMW,spinRev_USD,reg_downCapacity,reg_downPrice_USDperMW,reg_downRev_USD,reg_upCapacity,reg_upPrice_USDperMW,reg_upRev_USD,CapacityObligation
-0.25,0.50,57.68,-14.47,0.00,0.15,0.00,0.43,1.70,0.67,0.25,6.35,1.59,-0.00,1.70,-0.00,0.00
0.00,1.00,60.24,0.00,0.00,0.15,0.00,0.50,1.28,0.59,0.25,3.00,0.75,0.18,1.28,0.21,0.00
0.00,1.00,57.40,0.00,0.00,0.15,0.00,0.50,1.28,0.59,0.25,2.66,0.67,0.18,1.28,0.21,0.00
0.00,1.00,58.29,0.00,0.00,0.15,0.00,0.50,1.28,0.59,0.25,1.44,0.36,0.18,1.28,0.21,0.00
0.00,1.00,60.30,0.00,0.00,0.15,0.00,0.50,1.28,0.59,0.25,1.44,0.36,0.18,1.28,0.21,0.00
0.00,1.00,74.60,0.00,0.00,0.15,0.00,0.43,2.00,0.79,0.25,3.00,0.75,0.25,2.00,0.46,0.00
0.33,0.99,81.80,24.57,0.00,0.12,0.00,0.42,4.97,1.94,0.25,3.70,0.93,0.25,9.06,2.09,0.00
0.11,0.32,74.70,7.50,0.00,0.12,0.00,0.09,3.41,0.29,0.25,3.00,0.75,0.25,5.94,1.37,0.00
0.00,0.10,52.24,0.00,0.00,0.12,0.00,0.00,3.94,0.00,0.25,13.88,3.47,0.23,8.00,1.70,0.00
0.00,0.10,38.23,0.00,0.00,0.12,0.00,0.00,1.00,0.00,0.25,17.55,4.39,0.23,4.04,0.86,0.00
0.00,0.10,32.98,0.00,0.00,0.12,0.00,0.00,1.50,0.00,0.25,17.15,4.29,0.23,3.51,0.75,0.00
-0.49,0.10,26.57,-12.97,0.00,0.12,0.00,0.00,1.00,0.00,0.25,30.93,7.73,0.23,5.00,1.06,0.00
-0.01,1.00,25.86,-0.18,0.00,0.12,0.00,0.43,1.50,0.60,0.25,29.92,7.48,0.25,5.00,1.15,0.00
-0.01,1.00,27.95,-0.19,0.00,0.12,0.00,0.43,1.50,0.60,0.25,26.47,6.62,0.25,3.66,0.84,0.00
-0.01,1.00,31.08,-0.21,0.00,0.12,0.00,0.43,0.25,0.10,0.25,29.82,7.45,0.25,5.84,1.35,0.00
-0.01,1.00,53.52,-0.36,0.00,0.12,0.00,0.43,0.64,0.25,0.25,11.76,2.94,0.25,2.65,0.61,0.00
0.00,1.00,80.73,0.00,0.00,0.15,0.00,0.50,1.00,0.46,0.25,4.66,1.17,0.18,1.44,0.24,0.00
0.00,1.00,90.33,0.00,0.00,0.15,0.00,0.50,2.84,1.31,0.25,2.83,0.71,0.18,2.94,0.49,0.00
0.00,1.00,90.25,0.00,0.00,0.15,0.00,0.43,6.91,2.74,0.25,6.90,1.73,0.25,9.38,2.16,0.00
0.00,0.99,86.64,0.00,0.00,0.15,0.00,0.42,1.90,0.74,0.25,5.45,1.36,0.25,2.00,0.46,0.00
0.00,0.98,81.37,0.00,0.00,0.15,0.00,0.42,5.09,1.96,0.25,1.72,0.43,0.25,5.09,1.17,0.00
0.00,0.96,78.14,0.00,0.00,0.15,0.00,0.41,2.16,0.82,0.25,2.95,0.74,0.25,2.27,0.52,0.00
0.00,0.95,74.70,0.00,0.00,0.15,0.00,0.41,2.91,1.09,0.25,1.44,0.36,0.25,6.66,1.54,0.00
0.00,0.94,64.95,0.00,0.00,0.15,0.00,0.40,4.42,1.63,0.25,5.00,1.25,0.25,7.85,1.81,0.00
0.00,0.93,64.66,0.00,0.00,0.15,0.00,0.50,1.40,0.65,0.25,3.00,0.75,0.14,1.40,0.19,0.00
0.00,0.93,62.46,0.00,0.00,0.15,0.00,0.50,1.00,0.46,0.25,1.97,0.49,0.15,1.00,0.14,0.00
0.00,0.94,62.35,0.00,0.02,0.15,0.00,0.50,0.73,0.34,0.25,4.26,1.06,0.06,0.73,0.04,0.00
0.00,0.96,62.00,0.00,0.00,0.15,0.00,0.50,0.73,0.34,0.25,1.95,0.49,0.00,0.73,0.00,0.00
0.00,1.00,63.92,0.00,0.00,0.15,0.00,0.50,0.73,0.34,0.25,1.99,0.50,0.18,0.73,0.12,0.00
0.00,1.00,72.56,0.00,0.00,0.15,0.00,0.43,3.00,1.19,0.25,3.00,0.75,0.25,3.00,0.69,0.00
0.05,0.99,74.64,3.44,0.00,0.15,0.00,0.42,5.00,1.96,0.25,4.00,1.00,0.25,5.00,1.15,0.00
0.38,0.88,70.22,24.73,0.00,0.15,0.00,0.37,4.59,1.56,0.25,5.05,1.26,0.25,8.00,1.84,0.00
0.00,0.10,51.39,0.00,0.00,0.15,0.00,0.00,1.37,0.00,0.25,14.00,3.50,0.23,5.38,1.14,0.00
0.00,0.10,38.26,0.00,0.00,0.15,0.00,0.00,1.00,0.00,0.25,17.00,4.25,0.23,5.00,1.06,0.00
0.00,0.10,31.32,0.00,0.00,0.15,0.00,0.00,1.06,0.00,0.25,25.05,6.26,0.23,6.30,1.34,0.00
