BattSchedule_MW,SOC_percent,EnergyPriceDA_USDperMWh,EnergyProfit_USD,non_spinCapacity,non_spinPrice_USDperMW,non_spinRev_USD,spinCapacity,spinPrice_USDperMW,spinRev_USD,reg_downCapacity,reg_downPrice_USDperMW,reg_downRev_USD,reg_upCapacity,reg_upPrice_USDperMW,reg_upRev_USD,CapacityObligation
-0.12,0.50,57.68,-7.16,0.00,0.15,0.00,0.50,1.70,0.78,0.25,6.35,1.59,0.13,1.70,0.20,0.00
0.00,0.62,60.24,0.00,0.00,0.15,0.00,0.50,1.28,0.59,0.25,3.00,0.75,0.25,1.28,0.30,0.00
-0.04,0.61,57.40,-2.13,0.00,0.15,0.00,0.50,1.28,0.59,0.25,2.66,0.67,0.24,1.28,0.29,0.00
0.00,0.64,58.29,0.00,0.00,0.15,0.00,0.50,1.28,0.59,0.25,1.44,0.36,0.25,1.28,0.30,0.00
0.00,0.63,60.30,0.00,0.00,0.15,0.00,0.50,1.28,0.59,0.25,1.44,0.36,0.25,1.28,0.30,0.00
0.00,0.63,74.60,0.00,0.00,0.15,0.00,0.50,2.00,0.92,0.25,3.00,0.75,0.25,2.00,0.46,0.00
0.25,0.62,81.80,18.85,0.00,0.12,0.00,0.50,4.97,2.29,0.25,3.70,0.93,0.25,9.06,2.09,0.00
0.26,0.36,74.70,17.78,0.00,0.12,0.00,0.24,3.41,0.76,0.25,3.00,0.75,0.25,5.94,1.37,0.00
0.00,0.10,52.24,0.00,0.00,0.12,0.00,0.00,3.94,0.00,0.25,13.88,3.47,0.23,8.00,1.70,0.00
0.00,0.10,38.23,0.00,0.00,0.12,0.00,0.00,1.00,0.00,0.25,17.55,4.39,0.23,4.04,0.86,0.00
0.00,0.10,32.98,0.00,0.00,0.12,0.00,0.00,1.50,0.00,0.25,17.15,4.29,0.23,3.51,0.75,0.00
-0.56,0.10,26.57,-14.97,0.00,0.12,0.00,0.00,1.00,0.00,0.25,30.93,7.73,0.23,5.00,1.06,0.00
-0.42,0.62,25.86,-10.87,0.00,0.12,0.00,0.50,1.50,0.69,0.25,29.92,7.48,0.25,5.00,1.15,0.00
-0.01,1.00,27.95,-0.27,0.10,0.12,0.01,0.50,1.50,0.69,0.25,26.47,6.62,0.25,3.66,0.84,0.00
-0.01,1.00,31.08,-0.30,0.10,0.12,0.01,0.50,0.25,0.12,0.25,29.82,7.45,0.25,5.84,1.35,0.00
-0.01,1.00,53.52,-0.40,0.00,0.12,0.00,0.50,0.64,0.30,0.25,11.76,2.94,0.25,2.65,0.61,0.00
0.00,1.00,80.73,0.00,0.10,0.15,0.01,0.50,1.00,0.46,0.25,4.66,1.17,0.25,1.44,0.33,0.00
0.14,0.99,90.33,12.02,0.09,0.15,0.01,0.50,2.84,1.31,0.25,2.83,0.71,0.25,2.94,0.68,0.00
0.20,0.84,90.25,16.26,0.05,0.15,0.01,0.50,6.91,3.19,0.25,6.90,1.73,0.25,9.38,2.16,0.00
0.00,0.63,86.64,0.00,0.00,0.15,0.00,0.50,1.90,0.88,0.25,5.45,1.36,0.25,2.00,0.46,0.00
0.00,0.63,81.37,0.00,0.00,0.15,0.00,0.50,5.09,2.35,0.25,1.72,0.43,0.25,5.09,1.17,0.00
