BattSchedule_MW,SOC_percent,EnergyPriceDA_$perMWh,EnergyProfit_$,non_spinCapacity,non_spinPrice_$perMW,non_spinRev_$,reg_downCapacity,reg_downPrice_$perMW,reg_downRev_$,spinCapacity,spinPrice_$perMW,spinRev_$,reg_upCapacity,reg_upPrice_$perMW,reg_upRev_$,CapacityObligation
0.00,0.50,46.08,0.00,0.00,0.35,0.00,0.05,4.02,0.20,0.20,0.35,0.06,0.05,0.35,0.02,0.00
0.00,0.50,45.33,0.00,0.00,0.35,0.00,0.05,4.02,0.20,0.20,0.35,0.06,0.05,0.42,0.02,0.00
0.00,0.49,44.91,0.00,0.00,0.35,0.00,0.05,4.02,0.20,0.19,0.35,0.06,0.05,0.35,0.02,0.00
0.00,0.49,44.56,0.00,0.00,0.35,0.00,0.05,4.02,0.20,0.19,0.35,0.06,0.05,0.35,0.02,0.00
0.00,0.48,44.17,0.00,0.00,0.35,0.00,0.05,4.02,0.20,0.19,0.35,0.06,0.05,0.35,0.02,0.00
0.00,0.48,42.61,0.00,0.00,0.35,0.00,0.05,4.02,0.20,0.19,0.35,0.06,0.05,0.35,0.02,0.00
0.00,0.48,44.46,0.00,0.00,0.35,0.00,0.05,5.13,0.26,0.19,0.35,0.06,0.05,0.35,0.02,0.00
0.18,0.47,45.23,7.60,0.00,0.35,0.00,0.05,9.31,0.46,0.18,0.35,0.06,0.05,1.01,0.05,0.00
0.00,0.10,36.39,0.00,0.00,0.35,0.00,0.05,5.00,0.25,0.00,0.35,0.00,0.05,5.00,0.23,0.00
-0.00,0.10,28.79,-0.00,0.00,0.35,0.00,0.05,5.00,0.25,0.00,0.35,0.00,0.05,2.46,0.11,0.00
0.00,0.10,26.44,0.00,0.00,0.35,0.00,0.05,5.00,0.25,0.00,0.35,0.00,0.05,1.50,0.07,0.00
-0.00,0.10,22.85,-0.00,0.00,0.14,0.00,0.05,5.00,0.25,0.00,0.14,0.00,0.05,0.41,0.02,0.00
0.00,0.10,22.66,0.00,0.00,0.14,0.00,0.05,5.00,0.25,0.00,0.14,0.00,0.05,0.48,0.02,0.00
-0.49,0.10,22.37,-10.87,0.00,0.14,0.00,0.05,5.00,0.25,0.00,0.14,0.00,0.05,0.17,0.01,0.00
-0.00,1.00,23.86,-0.12,0.00,0.14,0.00,0.05,5.00,0.25,0.45,0.14,0.06,0.05,0.28,0.01,0.00
-0.00,1.00,37.87,-0.19,0.00,0.35,0.00,0.05,5.00,0.25,0.45,0.35,0.14,0.05,1.11,0.05,0.00
0.00,1.00,49.78,0.00,0.00,0.35,0.00,0.05,5.00,0.25,0.45,0.35,0.14,0.05,1.76,0.08,0.00
0.00,0.99,50.72,0.00,0.00,0.45,0.00,0.05,7.99,0.40,0.44,0.45,0.18,0.05,0.45,0.02,0.00
0.00,0.98,50.99,0.00,0.00,1.25,0.00,0.05,5.00,0.25,0.44,1.25,0.51,0.05,1.99,0.09,0.00
0.00,0.97,51.06,0.00,0.00,1.50,0.00,0.05,5.00,0.25,0.44,1.50,0.60,0.05,1.50,0.07,0.00
0.00,0.96,50.89,0.00,0.00,0.81,0.00,0.05,4.81,0.24,0.43,0.81,0.32,0.05,0.81,0.04,0.00
