BattSchedule_MW,SOC_percent,EnergyPriceDA_¥perMWh,EnergyProfit_¥,CapacityObligation
0.00,0.50,277.35,0.00,0.00
0.00,0.50,274.50,0.00,0.00
0.00,0.50,256.49,0.00,0.00
0.00,0.50,238.18,0.00,0.00
0.00,0.50,238.45,0.00,0.00
0.00,0.50,264.60,0.00,0.00
0.00,0.50,268.17,0.00,0.00
0.20,0.50,325.68,60.05,0.00
-0.00,0.10,292.17,0.00,0.00
-0.00,0.10,158.96,0.00,0.00
0.00,0.10,-80.00,-0.00,0.00
-0.49,0.10,-80.00,39.05,0.00
0.00,1.00,-80.00,-0.00,0.00
0.00,1.00,-80.00,-0.00,0.00
-0.00,1.00,74.25,0.00,0.00
-0.00,1.00,378.47,0.00,0.00
-0.00,1.00,569.28,0.00,0.00
0.45,1.00,817.05,338.98,0.00
-0.00,0.10,613.00,0.00,0.00
-0.00,0.10,502.75,0.00,0.00
-0.00,0.10,483.37,0.00,0.00
-0.00,0.10,413.27,0.00,0.00
-0.00,0.10,298.59,0.00,0.00
-0.00,0.10,265.45,0.00,0.00
0.00,0.10,-80.00,-0.00,0.00
0.00,0.10,-80.00,-0.00,0.00
0.00,0.10,-80.00,-0.00,0.00
0.00,0.10,-80.00,-0.00,0.00
-0.49,0.10,-80.00,39.05,0.00
0.00,1.00,76.75,0.00,0.00
0.00,1.00,232.75,0.00,0.00
0.00,1.00,376.07,0.00,0.00
0.45,1.00,442.53,183.60,0.00
0.00,0.10,335.73,0.00,0.00
0.00,0.10,213.21,0.00,0.00
0.00,0.10,215.85,0.00,0.00
-0.49,0.10,197.78,-96.53,0.00
0.00,1.00,298.65,0.00,0.00
-0.00,1.00,389.86,0.00,0.00
-0.00,1.00,583.45,0.00,0.00
-0.00,1.00,890.41,0.00,0.00
0.45,1.00,1034.90,429.36,0.00
-0.00,0.10,881.50,0.00,0.00
-0.00,0.10,725.14,0.00,0.00
-0.00,0.10,698.14,0.00,0.00
-0.00,0.10,597.77,0.00,0.00
-0.00,0.10,496.18,0.00,0.00
-0.00,0.10,485.93,0.00,0.00
0.00,0.10,235.21,0.00,0.00
0.00,0.10,182.53,0.00,0.00
0.00,0.10,150.56,0.00,0.00
-0.49,0.10,139.97,-68.32,0.00
0.00,1.00,154.04,0.00,0.00
0.00,1.00,205.92,0.00,0.00
-0.00,1.00,333.95,0.00,0.00
-0.00,1.00,467.70,0.00,0.00
0.45,1.00,502.46,208.46,0.00
0.00,0.10,386.77,0.00,0.00
0.00,0.10,253.90,0.00,0.00
0.00,0.10,227.97,0.00,0.00
-0.49,0.10,158.96,-77.59,0.00
0.00,1.00,233.41,0.00,0.00
-0.00,1.00,326.96,0.00,0.00
-0.00,1.00,525.11,0.00,0.00
-0.00,1.00,815.87,0.00,0.00
0.45,1.00,1022.29,424.13,0.00
-0.00,0.10,812.10,0.00,0.00
0.00,0.10,689.30,0.00,0.00
-0.00,0.10,734.68,0.00,0.00
-0.00,0.10,620.39,0.00,0.00
-0.00,0.10,504.56,0.00,0.00
-0.00,0.10,501.21,0.00,0.00
0.00,0.10,317.91,0.00,0.00
0.00,0.10,311.93,0.00,0.00
0.00,0.10,299.04,0.00,0.00
-0.49,0.10,284.10,-138.67,0.00
0.00,1.00,285.65,0.00,0.00
0.00,1.00,313.46,0.00,0.00
0.00,1.00,329.51,0.00,0.00
0.00,1.00,350.14,0.00,0.00
0.00,1.00,368.12,0.00,0.00
0.00,1.00,335.00,0.00,0.00
0.00,1.00,324.75,0.00,0.00
0.00,1.00,327.51,0.00,0.00
0.00,1.00,319.71,0.00,0.00
0.00,1.00,329.32,0.00,0.00
0.00,1.00,339.41,0.00,0.00
0.00,1.00,386.83,0.00,0.00
0.00,1.00,458.61,0.00,0.00
0.45,1.00,510.61,211.84,0.00
-0.00,0.10,398.30,0.00,0.00
0.00,0.10,361.34,0.00,0.00
0.00,0.10,360.47,0.00,0.00
0.00,0.10,342.50,0.00,0.00
0.00,0.10,328.22,0.00,0.00
0.00,0.10,328.99,0.00,0.00
0.00,0.10,339.66,0.00,0.00
0.00,0.10,263.10,0.00,0.00
0.00,0.10,237.84,0.00,0.00
-0.49,0.10,222.86,-108.78,0.00
0.00,1.00,239.22,0.00,0.00
0.00,1.00,315.50,0.00,0.00
-0.00,1.00,408.81,0.00,0.00
-0.00,1.00,511.04,0.00,0.00
-0.00,1.00,605.43,0.00,0.00
0.00,1.00,581.87,0.00,0.00
0.00,1.00,539.20,0.00,0.00
0.00,1.00,528.44,0.00,0.00
0.00,1.00,453.00,0.00,0.00
0.00,1.00,539.92,0.00,0.00
0.00,1.00,563.78,0.00,0.00
0.00,1.00,651.26,0.00,0.00
-0.00,1.00,842.66,0.00,0.00
0.45,1.00,1155.10,479.23,0.00
-0.00,0.10,762.80,0.00,0.00
0.00,0.10,623.17,0.00,0.00
-0.00,0.10,625.91,0.00,0.00
-0.00,0.10,547.25,0.00,0.00
0.00,0.10,445.65,0.00,0.00
-0.00,0.10,486.57,0.00,0.00
0.00,0.10,395.00,0.00,0.00
0.00,0.10,327.69,0.00,0.00
