BattSchedule_MW,SOC_percent,EnergyPriceDA_¥perMWh,EnergyProfit_¥,CapacityObligation
0.60,0.50,393.79,217.83,0.00
0.00,0.35,383.99,0.00,0.00
0.00,0.35,360.27,0.00,0.00
0.00,0.35,353.11,0.00,0.00
0.00,0.35,354.17,0.00,0.00
0.00,0.35,353.57,0.00,0.00
0.00,0.35,351.00,0.00,0.00
0.00,0.35,378.35,0.00,0.00
1.00,0.35,411.04,378.96,0.00
0.00,0.10,345.41,0.00,0.00
-0.90,0.10,289.79,-262.19,0.00
0.00,0.31,299.74,0.00,0.00
-1.00,0.31,199.31,-199.31,0.00
-1.00,0.54,246.69,-246.69,0.00
-1.00,0.77,269.98,-269.98,0.00
0.00,1.00,389.51,0.00,0.00
1.00,1.00,479.74,442.30,0.00
1.00,0.75,513.89,473.78,0.00
0.00,0.50,458.57,0.00,0.00
0.52,0.50,464.10,223.33,0.00
1.00,0.37,474.62,437.58,0.00
0.00,0.12,406.91,0.00,0.00
-1.00,0.12,377.81,-377.81,0.00
0.00,0.35,399.00,0.00,0.00
0.00,0.35,446.74,0.00,0.00
0.00,0.35,427.40,0.00,0.00
0.00,0.35,413.08,0.00,0.00
0.00,0.35,409.93,0.00,0.00
0.00,0.35,413.94,0.00,0.00
0.00,0.35,417.31,0.00,0.00
0.00,0.35,412.33,0.00,0.00
0.00,0.35,440.50,0.00,0.00
1.00,0.35,479.52,442.10,0.00
0.00,0.10,411.05,0.00,0.00
0.00,0.10,363.38,0.00,0.00
-0.90,0.10,333.56,-301.79,0.00
-1.00,0.31,244.25,-244.25,0.00
-1.00,0.54,303.55,-303.55,0.00
-1.00,0.77,328.05,-328.05,0.00
0.00,1.00,441.71,0.00,0.00
1.00,1.00,520.45,479.83,0.00
1.00,0.75,552.17,509.07,0.00
1.00,0.50,509.68,469.90,0.00
0.44,0.25,499.68,204.50,0.00
0.00,0.14,499.29,0.00,0.00
0.00,0.14,442.94,0.00,0.00
0.00,0.14,418.60,0.00,0.00
0.00,0.14,423.58,0.00,0.00
0.00,0.14,436.69,0.00,0.00
0.00,0.14,420.23,0.00,0.00
-1.00,0.14,408.11,-408.11,0.00
-1.00,0.37,403.17,-403.17,0.00
0.00,0.60,410.62,0.00,0.00
0.00,0.60,417.75,0.00,0.00
0.00,0.60,425.69,0.00,0.00
1.00,0.60,506.85,467.29,0.00
1.00,0.35,583.60,538.05,0.00
0.00,0.10,469.00,0.00,0.00
0.00,0.10,418.05,0.00,0.00
-0.90,0.10,382.04,-345.65,0.00
-1.00,0.31,291.25,-291.25,0.00
-1.00,0.54,371.01,-371.01,0.00
-1.00,0.77,372.92,-372.92,0.00
0.00,1.00,459.70,0.00,0.00
1.00,1.00,521.02,480.36,0.00
1.00,0.75,557.28,513.78,0.00
1.00,0.50,506.59,467.05,0.00
0.00,0.25,479.00,0.00,0.00
0.00,0.25,470.54,0.00,0.00
0.00,0.25,412.92,0.00,0.00
-1.00,0.25,382.08,-382.08,0.00
-1.00,0.48,385.98,-385.98,0.00
0.00,0.71,414.50,0.00,0.00
0.00,0.71,408.71,0.00,0.00
-0.25,0.71,404.61,-102.75,0.00
-1.00,0.77,403.43,-403.43,0.00
0.00,1.00,408.25,0.00,0.00
0.00,1.00,413.59,0.00,0.00
0.00,1.00,420.54,0.00,0.00
0.00,1.00,467.55,0.00,0.00
1.00,1.00,586.95,541.14,0.00
0.00,0.75,525.35,0.00,0.00
0.00,0.75,481.33,0.00,0.00
0.00,0.75,462.00,0.00,0.00
0.00,0.75,438.54,0.00,0.00
0.00,0.75,447.47,0.00,0.00
0.00,0.75,448.29,0.00,0.00
0.00,0.75,508.03,0.00,0.00
1.00,0.75,579.58,534.34,0.00
1.00,0.50,597.91,551.25,0.00
0.60,0.25,527.81,291.97,0.00
0.00,0.10,514.50,0.00,0.00
0.00,0.10,515.25,0.00,0.00
0.00,0.10,457.92,0.00,0.00
0.00,0.10,440.00,0.00,0.00
0.00,0.10,441.19,0.00,0.00
0.00,0.10,405.31,0.00,0.00
-0.90,0.10,399.32,-361.29,0.00
-1.00,0.31,394.24,-394.24,0.00
-1.00,0.54,392.38,-392.38,0.00
-1.00,0.77,396.03,-396.03,0.00
0.00,1.00,402.54,0.00,0.00
0.00,1.00,415.25,0.00,0.00
0.00,1.00,479.47,0.00,0.00
1.00,1.00,583.36,537.83,0.00
0.60,0.75,504.51,279.08,0.00
0.00,0.60,454.97,0.00,0.00
0.00,0.60,439.35,0.00,0.00
0.00,0.60,419.33,0.00,0.00
0.00,0.60,429.09,0.00,0.00
0.00,0.60,434.25,0.00,0.00
0.00,0.60,502.45,0.00,0.00
1.00,0.60,562.13,518.26,0.00
1.00,0.35,550.02,507.09,0.00
-0.00,0.10,464.25,0.00,0.00
-0.00,0.10,441.64,0.00,0.00
0.00,0.10,432.90,0.00,0.00
0.00,0.10,390.63,0.00,0.00
0.00,0.10,361.73,0.00,0.00
0.00,0.10,335.40,0.00,0.00
-0.90,0.10,51.05,-46.19,0.00
-1.00,0.31,47.12,-47.12,0.00
-1.00,0.54,43.90,-43.90,0.00
-1.00,0.77,44.35,-44.35,0.00
0.00,1.00,52.70,0.00,0.00
0.00,1.00,65.40,0.00,0.00
-0.00,1.00,86.99,0.00,0.00
1.00,1.00,226.57,208.88,0.00
1.00,0.75,445.80,411.01,0.00
1.00,0.50,155.40,143.27,0.00
0.00,0.25,110.77,0.00,0.00
-0.25,0.25,83.60,-21.23,0.00
-1.00,0.31,-25.79,25.79,0.00
-1.00,0.54,48.62,-48.62,0.00
-1.00,0.77,73.72,-73.72,0.00
-0.00,1.00,172.32,0.00,0.00
1.00,1.00,413.70,381.41,0.00
1.00,0.75,450.50,415.34,0.00
0.00,0.50,323.35,0.00,0.00
0.60,0.50,359.09,198.64,0.00
1.00,0.35,361.75,333.52,0.00
-1.00,0.10,173.69,-173.69,0.00
-1.00,0.33,170.17,-170.17,0.00
0.00,0.56,208.76,0.00,0.00
0.00,0.56,190.94,0.00,0.00
0.00,0.56,176.57,0.00,0.00
-1.00,0.56,169.59,-169.59,0.00
-0.90,0.79,175.04,-158.37,0.00
0.00,1.00,190.00,0.00,0.00
0.00,1.00,209.36,0.00,0.00
0.00,1.00,233.18,0.00,0.00
1.00,1.00,443.00,408.43,0.00
1.00,0.75,746.75,688.47,0.00
1.00,0.50,439.12,404.84,0.00
0.00,0.25,279.70,0.00,0.00
-0.25,0.25,232.06,-58.93,0.00
-1.00,0.31,189.19,-189.19,0.00
-1.00,0.54,224.32,-224.32,0.00
-1.00,0.77,218.98,-218.98,0.00
1.00,1.00,442.07,407.57,0.00
1.00,0.75,596.12,549.60,0.00
1.00,0.50,599.40,552.62,0.00
0.60,0.25,356.25,197.07,0.00
0.00,0.10,250.75,0.00,0.00
-0.00,0.10,191.01,0.00,0.00
-0.00,0.10,121.33,0.00,0.00
-0.90,0.10,53.44,-48.35,0.00
0.00,0.31,66.75,0.00,0.00
0.00,0.31,54.36,0.00,0.00
-1.00,0.31,33.00,-33.00,0.00
-1.00,0.54,43.98,-43.98,0.00
-1.00,0.77,47.00,-47.00,0.00
0.00,1.00,58.50,0.00,0.00
0.00,1.00,71.27,0.00,0.00
0.00,1.00,104.82,0.00,0.00
1.00,1.00,291.25,268.52,0.00
1.00,0.75,457.00,421.33,0.00
1.00,0.50,345.73,318.74,0.00
-0.25,0.25,159.26,-40.45,0.00
-1.00,0.31,117.14,-117.14,0.00
-1.00,0.54,93.81,-93.81,0.00
-1.00,0.77,124.51,-124.51,0.00
0.00,1.00,161.00,0.00,0.00
0.60,1.00,432.50,239.25,0.00
1.00,0.85,622.00,573.46,0.00
1.00,0.60,776.20,715.62,0.00
1.00,0.35,460.50,424.56,0.00
-0.00,0.10,401.16,0.00,0.00
-0.00,0.10,364.60,0.00,0.00
0.00,0.10,158.92,0.00,0.00
-0.00,0.10,83.12,0.00,0.00
-0.00,0.10,75.05,0.00,0.00
0.00,0.10,15.50,0.00,0.00
-1.00,0.10,-33.50,33.50,0.00
-0.90,0.33,-32.50,29.40,0.00
-1.00,0.54,-40.62,40.62,0.00
-1.00,0.77,-80.00,80.00,0.00
-0.00,1.00,18.50,0.00,0.00
0.00,1.00,46.25,0.00,0.00
1.00,1.00,136.94,126.25,0.00
1.00,0.75,364.35,335.92,0.00
0.00,0.50,121.00,0.00,0.00
0.00,0.50,104.12,0.00,0.00
0.00,0.50,94.12,0.00,0.00
-1.00,0.50,63.55,-63.56,0.00
-0.17,0.73,91.51,-15.49,0.00
-1.00,0.77,88.15,-88.15,0.00
-0.00,1.00,297.38,0.00,0.00
1.00,1.00,454.52,419.05,0.00
1.00,0.75,559.80,516.11,0.00
0.00,0.50,423.50,0.00,0.00
0.60,0.50,435.52,240.92,0.00
1.00,0.35,456.77,421.13,0.00
0.00,0.10,382.72,0.00,0.00
0.00,0.10,344.50,0.00,0.00
0.00,0.10,354.64,0.00,0.00
0.00,0.10,260.57,0.00,0.00
-1.00,0.10,192.81,-192.81,0.00
-1.00,0.33,177.17,-177.17,0.00
-1.00,0.56,182.14,-182.14,0.00
-0.90,0.79,258.68,-234.04,0.00
0.00,1.00,332.51,0.00,0.00
0.60,1.00,378.15,209.18,0.00
1.00,0.85,516.51,476.20,0.00
1.00,0.60,704.97,649.95,0.00
1.00,0.35,422.01,389.07,0.00
0.00,0.10,369.25,0.00,0.00
-1.00,0.10,284.89,-284.89,0.00
-1.00,0.33,172.79,-172.79,0.00
-1.00,0.56,274.19,-274.19,0.00
-0.90,0.79,305.24,-276.17,0.00
-0.00,1.00,471.39,0.00,0.00
1.00,1.00,639.70,589.77,0.00
1.00,0.75,810.38,747.13,0.00
1.00,0.50,563.32,519.36,0.00
0.60,0.25,476.50,263.59,0.00
0.00,0.10,450.32,0.00,0.00
0.00,0.10,365.22,0.00,0.00
0.00,0.10,300.01,0.00,0.00
0.00,0.10,249.23,0.00,0.00
0.00,0.10,228.24,0.00,0.00
0.00,0.10,231.42,0.00,0.00
-1.00,0.10,201.44,-201.44,0.00
-1.00,0.33,195.66,-195.66,0.00
-1.00,0.56,214.25,-214.25,0.00
-0.90,0.79,216.83,-196.18,0.00
0.00,1.00,290.54,0.00,0.00
1.00,1.00,493.80,455.26,0.00
1.00,0.75,727.95,671.14,0.00
1.00,0.50,446.70,411.83,0.00
0.60,0.25,356.52,197.22,0.00
-0.90,0.10,227.06,-205.44,0.00
-1.00,0.31,148.97,-148.97,0.00
-1.00,0.54,174.90,-174.90,0.00
-1.00,0.77,217.88,-217.88,0.00
0.60,1.00,417.15,230.76,0.00
1.00,0.85,473.71,436.74,0.00
1.00,0.60,579.24,534.03,0.00
1.00,0.35,438.17,403.97,0.00
0.00,0.10,391.45,0.00,0.00
0.00,0.10,381.00,0.00,0.00
0.00,0.10,237.64,0.00,0.00
-0.90,0.10,159.03,-143.88,0.00
0.00,0.31,160.01,0.00,0.00
-1.00,0.31,114.10,-114.10,0.00
-1.00,0.54,118.61,-118.61,0.00
-1.00,0.77,155.38,-155.38,0.00
0.00,1.00,169.10,0.00,0.00
0.00,1.00,199.38,0.00,0.00
0.00,1.00,193.90,0.00,0.00
0.00,1.00,194.63,0.00,0.00
-0.00,1.00,401.90,0.00,0.00
0.92,1.00,570.54,484.96,0.00
0.00,0.77,475.35,0.00,0.00
0.00,0.77,484.15,0.00,0.00
0.00,0.77,513.55,0.00,0.00
-1.00,0.77,448.00,-448.00,0.00
0.00,1.00,476.67,0.00,0.00
0.00,1.00,506.65,0.00,0.00
1.00,1.00,610.03,562.42,0.00
0.60,0.75,573.91,317.47,0.00
1.00,0.60,586.16,540.41,0.00
0.00,0.35,555.04,0.00,0.00
0.00,0.35,571.63,0.00,0.00
1.00,0.35,598.35,551.65,0.00
0.00,0.10,446.48,0.00,0.00
0.00,0.10,392.30,0.00,0.00
0.00,0.10,385.62,0.00,0.00
0.00,0.10,393.95,0.00,0.00
0.00,0.10,373.08,0.00,0.00
-0.90,0.10,343.13,-310.44,0.00
0.00,0.31,344.13,0.00,0.00
-1.00,0.31,313.06,-313.06,0.00
-1.00,0.54,243.40,-243.40,0.00
-1.00,0.77,299.15,-299.15,0.00
0.00,1.00,537.88,0.00,0.00
1.00,1.00,704.43,649.45,0.00
0.60,0.75,631.60,349.38,0.00
1.00,0.60,768.03,708.09,0.00
1.00,0.35,667.55,615.45,0.00
-0.00,0.10,558.29,0.00,0.00
-0.00,0.10,515.07,0.00,0.00
0.00,0.10,442.81,0.00,0.00
0.00,0.10,439.27,0.00,0.00
0.00,0.10,368.08,0.00,0.00
