BattSchedule_MW,SOC_percent,EnergyPriceDA_USDperMWh,EnergyProfit_USD,ecrsCapacity,ecrsPrice_USDperMW,ecrsRev_USD,reg_upCapacity,reg_upPrice_USDperMW,reg_upRev_USD,reg_downCapacity,reg_downPrice_USDperMW,reg_downRev_USD,non_spinCapacity,non_spinPrice_USDperMW,non_spinRev_USD,rrsCapacity,rrsPrice_USDperMW,rrsRev_USD,CapacityObligation
-0.11,0.50,18.24,-2.02,0.00,0.00,0.00,0.00,0.01,0.00,0.25,1.05,0.26,0.03,0.49,0.01,0.50,4.63,2.13,0.00
-0.01,0.62,17.63,-0.13,0.00,0.00,0.00,0.25,4.00,0.92,0.25,0.91,0.23,0.00,0.49,0.00,0.50,4.21,1.94,0.00
-0.42,0.62,17.11,-7.19,0.00,0.00,0.00,0.25,4.00,0.92,0.25,0.47,0.12,0.00,0.71,0.00,0.50,4.01,1.85,0.00
-0.01,1.00,17.23,-0.17,0.00,0.00,0.00,0.25,4.00,0.92,0.25,0.17,0.04,0.10,0.74,0.06,0.50,4.10,1.89,0.00
-0.01,1.00,17.30,-0.17,0.00,0.00,0.00,0.25,4.49,1.03,0.25,1.34,0.34,0.10,0.91,0.08,0.50,4.50,2.07,0.00
-0.01,1.00,18.14,-0.17,0.00,0.00,0.00,0.25,6.62,1.53,0.25,3.50,0.88,0.10,0.93,0.08,0.50,6.72,3.10,0.00
-0.01,1.00,18.40,-0.18,0.00,0.00,0.00,0.25,11.39,2.63,0.25,2.33,0.58,0.10,8.67,0.76,0.50,11.19,5.16,0.00
-0.01,1.00,19.85,-0.19,0.00,0.00,0.00,0.25,8.90,2.05,0.25,5.43,1.36,0.10,8.00,0.70,0.50,9.85,4.54,0.00
0.15,1.00,24.64,3.52,0.00,0.00,0.00,0.25,7.65,1.76,0.25,15.00,3.75,0.10,7.35,0.64,0.50,11.35,5.23,0.00
0.19,0.84,21.85,3.92,0.00,0.00,0.00,0.25,5.45,1.26,0.25,25.14,6.29,0.05,5.00,0.25,0.50,8.63,3.98,0.00
0.00,0.63,18.57,0.00,0.00,0.00,0.00,0.25,3.00,0.69,0.25,15.00,3.75,0.00,1.35,0.00,0.50,6.72,3.10,0.00
0.00,0.63,18.27,0.00,0.00,0.00,0.00,0.25,4.41,1.02,0.25,20.61,5.15,0.00,1.15,0.00,0.50,5.00,2.30,0.00
-0.01,0.62,17.50,-0.13,0.00,0.00,0.00,0.25,4.01,0.92,0.25,15.00,3.75,0.00,1.00,0.00,0.50,4.86,2.24,0.00
-0.01,0.62,16.42,-0.12,0.00,0.00,0.00,0.25,3.50,0.81,0.25,15.00,3.75,0.00,1.01,0.00,0.50,4.01,1.85,0.00
-0.42,0.62,16.21,-6.81,0.00,0.00,0.00,0.25,3.80,0.88,0.25,15.00,3.75,0.00,0.99,0.00,0.50,4.01,1.85,0.00
-0.01,1.00,16.09,-0.15,0.00,0.00,0.00,0.25,3.05,0.70,0.25,3.42,0.85,0.10,1.00,0.09,0.50,3.00,1.38,0.00
-0.01,1.00,18.42,-0.18,0.00,0.00,0.00,0.25,5.81,1.34,0.25,1.17,0.29,0.10,1.20,0.11,0.50,5.61,2.59,0.00
0.00,1.00,33.75,0.00,0.00,0.00,0.00,0.25,31.56,7.27,0.25,2.23,0.56,0.10,6.15,0.54,0.50,31.16,14.36,0.00
0.16,0.99,34.30,4.97,0.00,0.00,0.00,0.25,25.17,5.80,0.25,15.00,3.75,0.09,13.78,1.18,0.50,26.08,12.02,0.00
0.00,0.83,26.77,0.00,0.00,0.00,0.00,0.25,8.35,1.92,0.25,6.13,1.53,0.05,8.94,0.42,0.50,13.83,6.38,0.00
0.18,0.82,26.66,4.49,0.00,0.00,0.00,0.25,8.35,1.92,0.25,4.53,1.13,0.05,12.67,0.58,0.50,13.14,6.06,0.00
0.00,0.63,22.65,0.00,0.00,0.00,0.00,0.25,8.35,1.92,0.25,5.95,1.49,0.00,9.84,0.02,0.50,10.24,4.72,0.00
-0.42,0.62,19.44,-8.17,0.00,0.00,0.00,0.25,3.80,0.88,0.25,6.00,1.50,0.00,0.75,0.00,0.50,6.35,2.93,0.00
-0.01,1.00,19.35,-0.19,0.00,0.00,0.00,0.25,3.35,0.77,0.25,6.00,1.50,0.10,0.75,0.07,0.50,7.26,3.35,0.00
0.00,1.00,22.05,0.00,0.00,0.00,0.00,0.25,2.57,0.59,0.25,3.50,0.88,0.10,0.48,0.04,0.50,7.06,3.25,0.00
-0.02,0.99,19.64,-0.38,0.00,0.00,0.00,0.25,4.00,0.92,0.25,1.10,0.28,0.09,0.57,0.05,0.50,4.71,2.17,0.00
-0.01,1.00,20.12,-0.19,0.00,0.00,0.00,0.25,4.07,0.94,0.25,0.27,0.07,0.10,0.70,0.06,0.50,4.70,2.17,0.00
-0.01,1.00,21.04,-0.20,0.00,0.00,0.00,0.25,4.02,0.93,0.25,0.19,0.05,0.10,0.73,0.06,0.50,4.89,2.25,0.00
-0.01,1.00,22.28,-0.21,0.00,0.00,0.00,0.25,4.85,1.12,0.25,2.26,0.56,0.10,0.74,0.06,0.50,5.63,2.60,0.00
-0.01,1.00,26.57,-0.26,0.00,0.00,0.00,0.25,8.80,2.03,0.25,7.70,1.93,0.10,0.92,0.08,0.50,8.70,4.01,0.00
0.11,1.00,37.11,3.68,0.00,0.00,0.00,0.25,25.72,5.93,0.25,1.09,0.27,0.10,4.46,0.39,0.50,25.12,11.58,0.00
0.25,0.88,43.14,9.94,0.00,0.00,0.00,0.25,20.00,4.61,0.25,5.04,1.26,0.00,5.33,0.00,0.50,21.43,9.88,0.00
0.00,0.63,35.12,0.00,0.00,0.00,0.00,0.25,10.85,2.50,0.25,16.07,4.02,0.00,6.60,0.01,0.50,19.84,9.15,0.00
-0.01,0.62,26.39,-0.20,0.00,0.00,0.00,0.25,5.45,1.26,0.25,24.80,6.20,0.00,5.00,0.00,0.50,11.35,5.23,0.00
-0.01,0.62,22.81,-0.17,0.00,0.00,0.00,0.25,10.97,2.53,0.25,21.08,5.27,0.00,1.02,0.00,0.50,12.08,5.57,0.00
-0.01,0.62,19.22,-0.14,0.00,0.00,0.00,0.25,8.11,1.87,0.25,15.61,3.90,0.00,1.10,0.00,0.50,9.02,4.16,0.00
-0.01,0.62,18.10,-0.14,0.00,0.00,0.00,0.25,8.60,1.98,0.25,17.29,4.32,0.00,1.00,0.00,0.50,9.52,4.39,0.00
-0.01,0.62,16.29,-0.12,0.00,0.00,0.00,0.25,6.15,1.42,0.25,15.74,3.94,0.00,1.00,0.00,0.50,9.85,4.54,0.00
-0.01,0.62,15.07,-0.11,0.00,0.00,0.00,0.25,6.79,1.57,0.25,55.00,13.75,0.00,0.99,0.00,0.50,6.85,3.16,0.00
-0.42,0.62,14.29,-6.01,0.00,0.00,0.00,0.25,8.45,1.95,0.25,15.00,3.75,0.00,1.00,0.00,0.50,8.31,3.83,0.00
-0.01,1.00,15.46,-0.15,0.00,0.00,0.00,0.25,10.87,2.51,0.25,3.50,0.88,0.10,1.02,0.09,0.50,10.56,4.87,0.00
-0.01,1.00,19.75,-0.19,0.00,0.00,0.00,0.25,23.80,5.49,0.25,3.50,0.88,0.10,1.20,0.11,0.50,23.60,10.88,0.00
-0.01,1.00,19.00,-0.18,0.00,0.00,0.00,0.25,12.89,2.97,0.25,13.91,3.48,0.10,10.00,0.88,0.50,13.37,6.16,0.00
-0.01,1.00,18.03,-0.17,0.00,0.00,0.00,0.25,5.96,1.37,0.25,8.19,2.05,0.10,5.25,0.46,0.50,11.15,5.14,0.00
-0.01,1.00,17.33,-0.17,0.00,0.00,0.00,0.25,9.73,2.24,0.25,6.00,1.50,0.10,9.16,0.80,0.50,10.05,4.63,0.00
0.00,1.00,17.40,0.00,0.00,0.00,0.00,0.25,9.04,2.08,0.25,6.00,1.50,0.10,8.47,0.74,0.50,10.11,4.66,0.00
0.00,0.99,17.47,0.00,0.00,0.00,0.00,0.25,4.02,0.93,0.25,6.27,1.57,0.09,0.74,0.06,0.50,7.35,3.39,0.00
0.00,0.98,16.30,0.00,0.00,0.00,0.00,0.25,3.80,0.88,0.25,6.00,1.50,0.09,0.74,0.06,0.50,7.35,3.39,0.00
0.00,0.97,15.34,0.00,0.00,0.00,0.00,0.25,3.77,0.87,0.25,3.50,0.88,0.09,0.47,0.04,0.50,4.36,2.01,0.00
0.00,0.96,15.25,0.00,0.00,0.00,0.00,0.25,4.00,0.92,0.25,2.00,0.50,0.09,0.56,0.04,0.50,4.21,1.94,0.00
