BattSchedule_MW,SOC_percent,EnergyPriceDA_USDperMWh,EnergyProfit_USD,ecrsCapacity,ecrsPrice_USDperMW,ecrsRev_USD,reg_upCapacity,reg_upPrice_USDperMW,reg_upRev_USD,reg_downCapacity,reg_downPrice_USDperMW,reg_downRev_USD,non_spinCapacity,non_spinPrice_USDperMW,non_spinRev_USD,rrsCapacity,rrsPrice_USDperMW,rrsRev_USD,CapacityObligation
-0.28,0.50,10.42,-2.87,0.00,0.00,0.00,0.25,1.95,0.45,0.25,4.69,1.17,0.00,0.97,0.00,0.18,1.45,0.24,0.00
0.00,1.00,9.96,0.00,0.00,0.00,0.00,0.18,1.10,0.18,0.25,1.49,0.37,0.00,0.97,0.00,0.50,1.45,0.67,0.00
-0.01,1.00,8.74,-0.06,0.00,0.00,0.00,0.25,1.95,0.45,0.25,1.49,0.37,0.00,1.00,0.00,0.43,1.45,0.58,0.00
-0.01,1.00,8.34,-0.06,0.00,0.00,0.00,0.25,1.95,0.45,0.25,2.49,0.62,0.00,1.00,0.00,0.43,1.45,0.58,0.00
-0.01,1.00,8.49,-0.06,0.00,0.00,0.00,0.25,1.99,0.46,0.25,1.49,0.37,0.00,1.00,0.00,0.43,1.47,0.58,0.00
-0.01,1.00,8.80,-0.06,0.00,0.00,0.00,0.25,3.29,0.76,0.25,8.79,2.20,0.00,1.00,0.00,0.43,1.95,0.77,0.00
-0.01,1.00,13.78,-0.09,0.00,0.00,0.00,0.25,3.29,0.76,0.25,3.29,0.82,0.00,1.11,0.00,0.43,1.99,0.79,0.00
-0.01,1.00,14.33,-0.10,0.00,0.00,0.00,0.25,2.69,0.62,0.25,2.69,0.67,0.00,1.05,0.00,0.43,2.00,0.79,0.00
-0.01,1.00,14.91,-0.10,0.00,0.00,0.00,0.25,3.00,0.69,0.25,18.69,4.67,0.00,1.05,0.00,0.43,1.95,0.77,0.00
-0.01,1.00,14.74,-0.10,0.00,0.00,0.00,0.25,4.80,1.11,0.25,7.50,1.88,0.00,1.07,0.00,0.43,1.89,0.75,0.00
-0.01,1.00,16.88,-0.11,0.00,0.00,0.00,0.25,3.29,0.76,0.25,7.01,1.75,0.00,1.04,0.00,0.43,1.50,0.60,0.00
-0.01,1.00,17.31,-0.12,0.00,0.00,0.00,0.25,2.45,0.56,0.25,5.46,1.36,0.00,1.04,0.00,0.43,1.65,0.65,0.00
-0.01,1.00,16.80,-0.11,0.00,0.00,0.00,0.25,2.29,0.53,0.25,5.30,1.32,0.00,1.04,0.00,0.43,1.65,0.65,0.00
-0.01,1.00,17.46,-0.12,0.00,0.00,0.00,0.25,2.10,0.48,0.25,4.69,1.17,0.00,1.04,0.00,0.43,1.50,0.60,0.00
0.00,1.00,18.74,0.00,0.00,0.00,0.00,0.25,2.68,0.62,0.25,5.69,1.42,0.00,4.79,0.00,0.43,1.65,0.65,0.00
-0.01,0.99,16.44,-0.22,0.00,0.00,0.00,0.25,3.03,0.70,0.25,5.69,1.42,0.00,3.41,0.00,0.42,1.50,0.59,0.00
0.00,1.00,24.14,0.00,0.00,0.00,0.00,0.25,6.74,1.55,0.25,7.01,1.75,0.00,4.79,0.00,0.43,2.00,0.79,0.00
0.33,0.99,32.44,9.74,0.00,0.00,0.00,0.25,13.36,3.08,0.25,10.15,2.54,0.00,8.95,0.00,0.42,10.13,3.96,0.00
0.11,0.32,23.37,2.35,0.00,0.00,0.00,0.25,3.29,0.76,0.25,3.35,0.84,0.00,1.11,0.00,0.09,3.33,0.28,0.00
0.00,0.10,17.92,0.00,0.00,0.00,0.00,0.23,2.45,0.52,0.25,1.78,0.45,0.00,1.09,0.00,0.00,1.95,0.00,0.00
0.00,0.10,15.71,0.00,0.00,0.00,0.00,0.23,2.45,0.52,0.25,1.97,0.49,0.00,1.04,0.00,0.00,1.95,0.00,0.00
0.02,0.10,16.36,0.31,0.00,0.00,0.00,0.00,1.00,0.00,0.25,3.49,0.87,0.00,1.11,0.00,0.23,1.50,0.32,0.00
0.02,0.10,12.69,0.24,0.00,0.00,0.00,0.00,1.45,0.00,0.25,6.89,1.72,0.00,1.13,0.00,0.23,1.95,0.41,0.00
0.00,0.10,8.14,0.00,0.00,0.00,0.00,0.00,1.43,0.00,0.25,4.49,1.12,0.00,1.11,0.00,0.23,1.93,0.41,0.00
0.00,0.14,8.26,0.00,0.00,0.00,0.00,0.25,1.99,0.46,0.25,2.98,0.74,0.00,1.05,0.00,0.00,1.49,0.00,0.00
-0.47,0.14,3.97,-1.86,0.00,0.00,0.00,0.25,1.77,0.41,0.25,1.49,0.37,0.00,1.04,0.00,0.00,1.30,0.00,0.00
-0.01,1.00,3.06,-0.02,0.00,0.00,0.00,0.25,1.97,0.45,0.25,1.49,0.37,0.00,1.09,0.00,0.43,1.47,0.58,0.00
-0.01,1.00,3.03,-0.02,0.00,0.00,0.00,0.25,1.99,0.46,0.25,2.49,0.62,0.00,1.09,0.00,0.43,1.49,0.59,0.00
-0.01,1.00,6.33,-0.04,0.00,0.00,0.00,0.25,2.10,0.48,0.25,1.49,0.37,0.00,1.09,0.00,0.43,1.50,0.60,0.00
-0.01,1.00,8.55,-0.06,0.00,0.00,0.00,0.25,3.75,0.86,0.25,7.01,1.75,0.00,1.09,0.00,0.43,1.75,0.69,0.00
-0.01,1.00,12.53,-0.09,0.00,0.00,0.00,0.25,3.69,0.85,0.25,5.01,1.25,0.00,1.40,0.00,0.43,2.00,0.79,0.00
-0.01,1.00,15.49,-0.11,0.00,0.00,0.00,0.25,3.30,0.76,0.25,3.30,0.82,0.00,1.25,0.00,0.43,3.00,1.19,0.00
-0.01,1.00,17.39,-0.12,0.00,0.00,0.00,0.25,3.00,0.69,0.25,18.69,4.67,0.00,1.15,0.00,0.43,1.99,0.79,0.00
-0.01,1.00,18.14,-0.12,0.00,0.00,0.00,0.25,6.43,1.48,0.25,7.69,1.92,0.00,1.15,0.00,0.43,1.95,0.77,0.00
0.00,1.00,18.09,0.00,0.00,0.00,0.00,0.25,3.69,0.85,0.25,7.50,1.88,0.00,1.09,0.00,0.43,1.69,0.67,0.00
0.00,0.99,18.72,0.00,0.00,0.00,0.00,0.25,3.29,0.76,0.25,6.30,1.57,0.00,1.11,0.00,0.42,1.85,0.72,0.00
0.00,0.98,17.74,0.00,0.00,0.00,0.00,0.25,3.19,0.74,0.25,5.69,1.42,0.00,1.13,0.00,0.42,1.65,0.64,0.00
0.00,0.96,13.81,0.00,0.00,0.00,0.00,0.25,2.29,0.53,0.25,5.30,1.32,0.00,1.14,0.00,0.41,1.50,0.57,0.00
-0.03,0.95,11.29,-0.38,0.00,0.00,0.00,0.25,3.29,0.76,0.25,7.00,1.75,0.00,4.79,0.00,0.41,1.65,0.62,0.00
-0.01,1.00,11.35,-0.08,0.00,0.00,0.00,0.25,2.80,0.65,0.25,7.50,1.88,0.00,4.79,0.00,0.43,1.89,0.75,0.00
-0.01,1.00,15.17,-0.10,0.00,0.00,0.00,0.25,5.98,1.38,0.25,7.98,2.00,0.00,6.75,0.00,0.43,1.95,0.77,0.00
0.44,1.00,31.65,12.97,0.00,0.00,0.00,0.25,10.40,2.40,0.25,8.89,2.22,0.04,6.75,0.26,0.26,4.45,1.08,0.00
0.00,0.10,21.89,0.00,0.00,0.00,0.00,0.23,2.29,0.49,0.25,5.01,1.25,0.00,1.40,0.00,0.00,2.00,0.00,0.00
0.00,0.10,15.22,0.00,0.00,0.00,0.00,0.23,2.45,0.52,0.25,3.20,0.80,0.00,1.13,0.00,0.00,1.95,0.00,0.00
