BattSchedule_MW,SOC_percent,EnergyPriceDA_$perMWh,EnergyProfit_$,ecrsCapacity,ecrsPrice_$perMW,ecrsRev_$,rrsCapacity,rrsPrice_$perMW,rrsRev_$,non_spinCapacity,non_spinPrice_$perMW,non_spinRev_$,reg_upCapacity,reg_upPrice_$perMW,reg_upRev_$,reg_downCapacity,reg_downPrice_$perMW,reg_downRev_$,CapacityObligation
-0.27,0.50,16.99,-4.63,0.00,0.10,0.00,0.20,1.00,0.18,0.00,0.94,0.00,0.05,1.49,0.07,0.05,1.51,0.08,0.00
-0.00,1.00,18.01,-0.09,0.00,0.11,0.00,0.45,1.00,0.41,0.00,0.94,0.00,0.05,1.47,0.07,0.05,1.25,0.06,0.00
-0.00,1.00,18.17,-0.09,0.00,0.12,0.00,0.45,1.00,0.41,0.00,1.23,0.00,0.05,1.80,0.08,0.05,1.25,0.06,0.00
-0.00,1.00,18.91,-0.09,0.00,0.13,0.00,0.45,1.00,0.41,0.00,1.23,0.00,0.05,1.60,0.07,0.05,1.25,0.06,0.00
-0.00,1.00,20.42,-0.10,0.00,0.14,0.00,0.45,1.01,0.42,0.00,1.23,0.00,0.05,2.00,0.09,0.05,1.25,0.06,0.00
-0.00,1.00,22.77,-0.11,0.00,0.15,0.00,0.45,1.00,0.41,0.00,1.25,0.00,0.05,3.19,0.15,0.05,1.49,0.07,0.00
0.00,1.00,25.53,0.00,0.00,2.00,0.00,0.45,1.50,0.62,0.00,2.72,0.00,0.05,3.98,0.18,0.05,1.93,0.10,0.00
0.00,0.99,30.25,0.00,0.00,2.00,0.00,0.44,1.97,0.81,0.00,2.72,0.00,0.05,3.47,0.16,0.05,1.92,0.10,0.00
0.00,0.98,23.28,0.00,0.22,5.05,1.02,0.00,2.05,0.00,0.00,2.15,0.00,0.05,2.52,0.12,0.05,5.73,0.29,0.00
0.00,0.97,19.54,0.00,0.22,4.20,0.84,0.00,1.50,0.00,0.00,2.15,0.00,0.05,2.50,0.11,0.05,2.55,0.13,0.00
0.00,0.96,18.45,0.00,0.00,2.00,0.00,0.43,1.40,0.55,0.00,1.50,0.00,0.05,2.20,0.10,0.05,1.79,0.09,0.00
0.00,0.96,17.85,0.00,0.00,1.72,0.00,0.43,1.40,0.55,0.00,1.45,0.00,0.05,1.98,0.09,0.05,1.57,0.08,0.00
0.00,0.95,16.55,0.00,0.00,1.50,0.00,0.42,1.50,0.58,0.00,1.45,0.00,0.05,1.98,0.09,0.05,1.48,0.07,0.00
-0.04,0.94,14.45,-0.55,0.00,1.15,0.00,0.42,1.15,0.44,0.00,1.29,0.00,0.05,1.63,0.07,0.05,1.57,0.08,0.00
-0.00,1.00,13.86,-0.07,0.00,1.28,0.00,0.45,1.28,0.53,0.00,1.45,0.00,0.05,1.65,0.08,0.05,1.57,0.08,0.00
-0.00,1.00,13.15,-0.07,0.00,1.08,0.00,0.45,1.08,0.45,0.00,1.29,0.00,0.05,1.57,0.07,0.05,1.57,0.08,0.00
-0.00,1.00,20.23,-0.10,0.00,1.50,0.00,0.45,1.50,0.62,0.00,1.50,0.00,0.05,5.74,0.26,0.05,2.00,0.10,0.00
0.00,1.00,38.65,0.00,0.00,2.00,0.00,0.00,1.97,0.00,0.11,9.14,0.94,0.05,20.51,0.94,0.05,2.55,0.13,0.00
0.00,1.00,30.07,0.00,0.00,2.00,0.00,0.45,1.65,0.68,0.00,2.72,0.00,0.05,3.49,0.16,0.05,1.71,0.09,0.00
0.00,0.99,25.97,0.00,0.00,1.95,0.00,0.44,1.50,0.61,0.00,2.30,0.00,0.05,2.01,0.09,0.05,1.38,0.07,0.00
0.00,0.98,25.83,0.00,0.00,1.20,0.00,0.44,1.20,0.48,0.00,2.15,0.00,0.05,1.53,0.07,0.05,1.25,0.06,0.00
0.00,0.97,23.73,0.00,0.00,0.93,0.00,0.43,1.10,0.44,0.00,1.75,0.00,0.05,1.64,0.08,0.05,1.25,0.06,0.00
0.00,0.96,22.49,0.00,0.00,0.25,0.00,0.43,1.00,0.39,0.00,1.12,0.00,0.05,1.47,0.07,0.05,1.25,0.06,0.00
0.00,0.95,21.90,0.00,0.00,0.08,0.00,0.42,1.00,0.39,0.00,1.11,0.00,0.05,1.33,0.06,0.05,1.25,0.06,0.00
0.00,0.94,20.46,0.00,0.00,0.10,0.00,0.42,1.00,0.39,0.00,0.92,0.00,0.05,1.49,0.07,0.05,0.50,0.02,0.00
-0.04,0.93,19.56,-0.80,0.00,0.11,0.00,0.42,1.00,0.38,0.00,0.92,0.00,0.05,1.33,0.06,0.05,0.49,0.02,0.00
-0.00,1.00,20.08,-0.10,0.00,0.12,0.00,0.45,1.00,0.41,0.00,1.12,0.00,0.05,1.60,0.07,0.05,0.34,0.02,0.00
-0.00,1.00,21.17,-0.11,0.00,0.13,0.00,0.45,1.00,0.41,0.00,1.12,0.00,0.05,1.80,0.08,0.05,0.49,0.02,0.00
