BattSchedule_MW,SOC_percent,EnergyPriceDA_$perMWh,EnergyProfit_$,ecrsCapacity,ecrsPrice_$perMW,ecrsRev_$,rrsCapacity,rrsPrice_$perMW,rrsRev_$,non_spinCapacity,non_spinPrice_$perMW,non_spinRev_$,reg_upCapacity,reg_upPrice_$perMW,reg_upRev_$,reg_downCapacity,reg_downPrice_$perMW,reg_downRev_$,CapacityObligation
-0.55,0.50,16.99,-9.26,0.00,0.10,0.00,0.40,1.00,0.37,0.00,0.94,0.00,0.05,1.49,0.07,0.05,1.51,0.08,0.00
-0.01,1.00,18.01,-0.14,0.00,0.11,0.00,0.50,1.00,0.46,0.10,0.94,0.09,0.05,1.47,0.07,0.05,1.25,0.06,0.00
-0.01,1.00,18.17,-0.14,0.00,0.12,0.00,0.50,1.00,0.46,0.10,1.23,0.11,0.05,1.80,0.08,0.05,1.25,0.06,0.00
-0.01,1.00,18.91,-0.15,0.00,0.13,0.00,0.50,1.00,0.46,0.10,1.23,0.11,0.05,1.60,0.07,0.05,1.25,0.06,0.00
-0.01,1.00,20.42,-0.16,0.00,0.14,0.00,0.50,1.01,0.46,0.10,1.23,0.11,0.05,2.00,0.09,0.05,1.25,0.06,0.00
0.00,1.00,22.77,0.00,0.00,0.15,0.00,0.50,1.00,0.46,0.10,1.25,0.11,0.05,3.19,0.15,0.05,1.49,0.07,0.00
0.00,0.99,25.53,0.00,0.20,2.00,0.36,0.50,1.50,0.69,0.00,2.72,0.00,0.05,3.98,0.18,0.05,1.93,0.10,0.00
0.00,0.98,30.25,0.00,0.19,2.00,0.35,0.50,1.97,0.91,0.00,2.72,0.00,0.05,3.47,0.16,0.05,1.92,0.10,0.00
0.00,0.97,23.28,0.00,0.44,5.05,2.03,0.00,2.05,0.00,0.00,2.15,0.00,0.05,2.52,0.12,0.05,5.73,0.29,0.00
0.00,0.97,19.54,0.00,0.43,4.20,1.67,0.00,1.50,0.00,0.00,2.15,0.00,0.05,2.50,0.11,0.05,2.55,0.13,0.00
0.00,0.96,18.45,0.00,0.18,2.00,0.33,0.50,1.40,0.64,0.00,1.50,0.00,0.05,2.20,0.10,0.05,1.79,0.09,0.00
0.00,0.95,17.85,0.00,0.17,1.72,0.27,0.50,1.40,0.64,0.00,1.45,0.00,0.05,1.98,0.09,0.05,1.57,0.08,0.00
0.00,0.94,16.55,0.00,0.17,1.50,0.23,0.50,1.50,0.69,0.00,1.45,0.00,0.05,1.98,0.09,0.05,1.48,0.07,0.00
0.00,0.93,14.45,0.00,0.17,1.15,0.17,0.50,1.15,0.53,0.00,1.29,0.00,0.05,1.63,0.07,0.05,1.57,0.08,0.00
0.00,0.92,13.86,0.00,0.16,1.28,0.19,0.50,1.28,0.59,0.00,1.45,0.00,0.05,1.65,0.08,0.05,1.57,0.08,0.00
