BattSchedule_MW,SOC_percent,EnergyPriceDA_€perMWh,EnergyProfit_€,aFRR_UpCapacity,aFRR_UpPrice_€perMW,aFRR_UpRev_€,FCRCapacity,FCRPrice_€perMW,FCRRev_€,aFRR_DownCapacity,aFRR_DownPrice_€perMW,aFRR_DownRev_€,CapacityObligation
0.50,0.50,85.06,9.80,0.00,0.68,0.00,0.50,47.00,5.42,0.50,36.52,4.57,0.00
0.00,0.25,36.13,0.00,0.50,0.68,0.08,0.50,47.00,5.42,0.50,36.52,4.57,0.00
0.00,0.24,-3.42,-0.00,0.50,0.68,0.08,0.50,47.00,5.42,0.50,36.52,4.57,0.00
-0.12,0.24,-31.94,1.00,0.50,0.68,0.08,0.50,47.00,5.42,0.50,36.52,4.57,0.00
0.00,0.29,28.25,0.00,0.50,0.68,0.08,0.50,47.00,5.42,0.50,36.52,4.57,0.00
0.00,0.28,9.82,0.00,0.50,0.68,0.08,0.50,47.00,5.42,0.50,36.52,4.57,0.00
0.00,0.27,2.08,0.00,0.50,0.68,0.08,0.50,47.00,5.42,0.50,36.52,4.57,0.00
0.00,0.27,1.99,0.00,0.50,0.68,0.08,0.50,47.00,5.42,0.50,36.52,4.57,0.00
0.00,0.26,13.86,0.00,0.50,0.68,0.08,0.50,47.00,5.42,0.50,36.52,4.57,0.00
0.00,0.25,0.82,0.00,0.50,0.68,0.08,0.50,47.00,5.42,0.50,36.52,4.57,0.00
0.00,0.25,9.91,0.00,0.50,0.68,0.08,0.50,47.00,5.42,0.50,36.52,4.57,0.00
0.00,0.24,12.44,0.00,0.50,0.68,0.08,0.50,47.00,5.42,0.50,36.52,4.57,0.00
0.00,0.23,-9.39,-0.00,0.50,1.32,0.15,0.50,42.00,4.84,0.50,31.96,4.00,0.00
0.00,0.23,4.59,0.00,0.50,1.32,0.15,0.50,42.00,4.84,0.50,31.96,4.00,0.00
0.00,0.22,2.84,0.00,0.50,1.32,0.15,0.50,42.00,4.84,0.50,31.96,4.00,0.00
0.00,0.21,16.38,0.00,0.50,1.32,0.15,0.50,42.00,4.84,0.50,31.96,4.00,0.00
0.00,0.21,10.18,0.00,0.50,1.32,0.15,0.50,42.00,4.84,0.50,31.96,4.00,0.00
0.00,0.20,61.94,0.00,0.50,1.32,0.15,0.50,42.00,4.84,0.50,31.96,4.00,0.00
0.00,0.19,17.92,0.00,0.50,1.32,0.15,0.50,42.00,4.84,0.50,31.96,4.00,0.00
0.00,0.19,-26.40,-0.00,0.50,1.32,0.15,0.50,42.00,4.84,0.50,31.96,4.00,0.00
0.00,0.18,-29.94,-0.00,0.50,1.32,0.15,0.50,42.00,4.84,0.50,31.96,4.00,0.00
0.00,0.17,7.42,0.00,0.50,1.32,0.15,0.50,42.00,4.84,0.50,31.96,4.00,0.00
0.00,0.17,10.25,0.00,0.47,1.32,0.14,0.50,42.00,4.84,0.50,31.96,4.00,0.00
0.00,0.16,10.20,0.00,0.45,1.32,0.14,0.50,42.00,4.84,0.50,31.96,4.00,0.00
-0.50,0.15,-68.55,8.57,0.42,1.32,0.13,0.50,42.00,4.84,0.50,31.96,4.00,0.00
0.00,0.38,-35.64,-0.00,0.50,1.32,0.15,0.50,42.00,4.84,0.50,31.96,4.00,0.00
0.00,0.37,48.82,0.00,0.50,1.32,0.15,0.50,42.00,4.84,0.50,31.96,4.00,0.00
0.45,0.36,60.55,6.22,0.05,1.32,0.02,0.50,42.00,4.84,0.50,31.96,4.00,0.00
-0.90,0.14,-149.99,33.87,0.00,3.56,0.00,0.50,24.76,2.85,0.10,4.32,0.10,0.00
-1.00,0.55,-149.99,37.50,0.50,3.56,0.41,0.50,24.76,2.85,-0.00,4.32,-0.00,0.00
0.00,1.00,13.56,0.00,0.50,3.56,0.41,0.50,24.76,2.85,0.50,4.32,0.54,0.00
1.00,0.99,528.79,121.88,0.00,3.56,0.00,-0.00,24.76,-0.00,0.00,4.32,0.00,0.00
-1.00,0.49,-24.55,6.14,0.50,3.56,0.41,0.50,24.76,2.85,-0.00,4.32,-0.00,0.00
0.00,0.94,57.42,0.00,0.50,3.56,0.41,0.50,24.76,2.85,0.50,4.32,0.54,0.00
0.00,0.94,107.38,0.00,0.50,3.56,0.41,0.50,24.76,2.85,0.50,4.32,0.54,0.00
0.50,0.93,133.77,15.42,0.00,3.56,0.00,0.50,24.76,2.85,0.50,4.32,0.54,0.00
0.00,0.68,3.47,0.00,0.50,3.56,0.41,0.50,24.76,2.85,0.50,4.32,0.54,0.00
0.00,0.67,72.12,0.00,0.50,3.56,0.41,0.50,24.76,2.85,0.50,4.32,0.54,0.00
0.20,0.66,120.75,5.67,0.30,3.56,0.24,0.50,24.76,2.85,0.50,4.32,0.54,0.00
0.00,0.56,77.30,0.00,0.50,3.56,0.41,0.50,24.76,2.85,0.50,4.32,0.54,0.00
-1.00,0.55,-8.23,2.06,0.50,3.56,0.41,0.50,24.76,2.85,-0.00,4.32,-0.00,0.00
0.00,1.00,67.44,0.00,0.50,3.56,0.41,0.50,24.76,2.85,0.50,4.32,0.54,0.00
0.44,0.99,126.17,12.85,0.06,3.56,0.05,0.50,24.76,2.85,0.36,4.32,0.39,0.00
0.00,0.77,78.35,0.00,0.50,3.56,0.41,0.50,24.76,2.85,0.50,4.32,0.54,0.00
