BattSchedule_MW,SOC_percent,EnergyPriceDA_€perMWh,EnergyProfit_€,aFRR_UpCapacity,aFRR_UpPrice_€perMW,aFRR_UpRev_€,FCRCapacity,FCRPrice_€perMW,FCRRev_€,aFRR_DownCapacity,aFRR_DownPrice_€perMW,aFRR_DownRev_€,CapacityObligation
0.50,0.50,85.06,9.80,0.00,0.68,0.00,0.50,47.00,5.42,0.50,36.52,4.57,0.00
0.00,0.47,36.13,0.00,0.50,0.68,0.08,0.50,47.00,5.42,0.50,36.52,4.57,0.00
-0.50,0.47,-3.42,0.43,0.50,0.68,0.08,0.50,47.00,5.42,0.50,36.52,4.57,0.00
-1.00,0.50,-31.94,7.99,0.00,0.68,0.00,0.50,47.00,5.42,0.00,36.52,0.00,0.00
0.00,0.55,28.25,0.00,0.50,0.68,0.08,0.50,47.00,5.42,0.50,36.52,4.57,0.00
-0.26,0.55,9.82,-0.65,0.50,0.68,0.08,0.50,47.00,5.42,0.50,36.52,4.57,0.00
-0.50,0.57,2.08,-0.26,0.50,0.68,0.08,0.50,47.00,5.42,0.50,36.52,4.57,0.00
-0.50,0.59,1.99,-0.25,0.50,0.68,0.08,0.50,47.00,5.42,0.50,36.52,4.57,0.00
0.00,0.62,13.86,0.00,0.50,0.68,0.08,0.50,47.00,5.42,0.50,36.52,4.57,0.00
-0.50,0.62,0.82,-0.10,0.50,0.68,0.08,0.50,47.00,5.42,0.50,36.52,4.57,0.00
0.00,0.65,9.91,0.00,0.50,0.68,0.08,0.50,47.00,5.42,0.50,36.52,4.57,0.00
0.00,0.65,12.44,0.00,0.50,0.68,0.08,0.50,47.00,5.42,0.50,36.52,4.57,0.00
-0.50,0.65,-9.39,1.17,0.50,1.32,0.15,0.50,42.00,4.84,0.50,31.96,4.00,0.00
-0.50,0.68,4.59,-0.57,0.50,1.32,0.15,0.50,42.00,4.84,0.50,31.96,4.00,0.00
-0.50,0.70,2.84,-0.35,0.50,1.32,0.15,0.50,42.00,4.84,0.50,31.96,4.00,0.00
0.00,0.73,16.38,0.00,0.50,1.32,0.15,0.50,42.00,4.84,0.50,31.96,4.00,0.00
0.00,0.73,10.18,0.00,0.50,1.32,0.15,0.50,42.00,4.84,0.50,31.96,4.00,0.00
0.50,0.73,61.94,7.14,0.00,1.32,0.00,0.50,42.00,4.84,0.50,31.96,4.00,0.00
0.00,0.70,17.92,0.00,0.50,1.32,0.15,0.50,42.00,4.84,0.50,31.96,4.00,0.00
-1.00,0.70,-26.40,6.60,0.50,1.32,0.15,0.50,42.00,4.84,0.00,31.96,0.00,0.00
-1.00,0.75,-29.94,7.49,0.50,1.32,0.15,0.50,42.00,4.84,-0.00,31.96,-0.00,0.00
-0.50,0.81,7.42,-0.93,0.50,1.32,0.15,0.50,42.00,4.84,0.50,31.96,4.00,0.00
0.00,0.84,10.25,0.00,0.50,1.32,0.15,0.50,42.00,4.84,0.50,31.96,4.00,0.00
0.00,0.84,10.20,0.00,0.50,1.32,0.15,0.50,42.00,4.84,0.50,31.96,4.00,0.00
-1.00,0.84,-68.55,17.14,0.00,1.32,0.00,0.50,42.00,4.84,-0.00,31.96,-0.00,0.00
-1.00,0.89,-35.64,8.91,0.50,1.32,0.15,0.50,42.00,4.84,-0.00,31.96,-0.00,0.00
0.50,0.95,48.82,5.63,0.00,1.32,0.00,0.50,42.00,4.84,0.50,31.96,4.00,0.00
0.50,0.92,60.55,6.98,0.00,1.32,0.00,0.50,42.00,4.84,0.50,31.96,4.00,0.00
-1.00,0.89,-149.99,37.50,0.00,3.56,0.00,0.50,24.76,2.85,-0.00,4.32,-0.00,0.00
-1.00,0.94,-149.99,37.50,0.00,3.56,0.00,0.50,24.76,2.85,-0.00,4.32,-0.00,0.00
-0.01,1.00,13.56,-0.05,0.50,3.56,0.41,0.50,24.76,2.85,0.50,4.32,0.54,0.00
1.00,1.00,528.79,121.88,0.00,3.56,0.00,-0.00,24.76,-0.00,0.00,4.32,0.00,0.00
-1.00,0.94,-24.55,6.14,0.50,3.56,0.41,0.50,24.76,2.85,-0.00,4.32,-0.00,0.00
0.00,0.99,57.42,0.00,0.50,3.56,0.41,0.50,24.76,2.85,0.50,4.32,0.54,0.00
0.50,0.99,107.38,12.37,0.00,3.56,0.00,0.50,24.76,2.85,0.50,4.32,0.54,0.00
1.00,0.96,133.77,30.83,0.00,3.56,0.00,-0.00,24.76,-0.00,0.50,4.32,0.54,0.00
-1.00,0.90,3.47,-0.87,0.50,3.56,0.41,0.50,24.76,2.85,-0.00,4.32,-0.00,0.00
0.00,0.96,72.12,0.00,0.50,3.56,0.41,0.50,24.76,2.85,0.50,4.32,0.54,0.00
1.00,0.95,120.75,27.83,0.00,3.56,0.00,0.00,24.76,0.00,0.50,4.32,0.54,0.00
0.00,0.89,77.30,0.00,0.50,3.56,0.41,0.50,24.76,2.85,0.50,4.32,0.54,0.00
-1.00,0.89,-8.23,2.06,0.50,3.56,0.41,0.50,24.76,2.85,-0.00,4.32,-0.00,0.00
0.00,0.95,67.44,0.00,0.50,3.56,0.41,0.50,24.76,2.85,0.50,4.32,0.54,0.00
1.00,0.95,126.17,29.08,0.00,3.56,0.00,-0.00,24.76,-0.00,0.50,4.32,0.54,0.00
0.00,0.89,78.35,0.00,0.50,3.56,0.41,0.50,24.76,2.85,0.50,4.32,0.54,0.00
1.00,0.88,131.95,30.41,0.00,2.88,0.00,-0.00,24.12,-0.00,0.50,4.32,0.54,0.00
0.50,0.82,104.81,12.08,0.00,2.88,0.00,0.50,24.12,2.78,0.50,4.32,0.54,0.00
0.00,0.79,67.49,0.00,0.50,2.88,0.33,0.50,24.12,2.78,0.50,4.32,0.54,0.00
-1.00,0.79,-17.50,4.38,0.50,2.88,0.33,0.50,24.12,2.78,-0.00,4.32,-0.00,0.00
1.00,0.85,127.09,29.29,0.00,2.88,0.00,-0.00,24.12,-0.00,0.50,4.32,0.54,0.00
0.59,0.79,109.22,14.84,0.00,2.88,0.00,0.41,24.12,2.28,0.50,4.32,0.54,0.00
0.00,0.75,68.09,0.00,0.50,2.88,0.33,0.50,24.12,2.78,0.50,4.32,0.54,0.00
-1.00,0.75,7.56,-1.89,0.50,2.88,0.33,0.50,24.12,2.78,-0.00,4.32,-0.00,0.00
0.50,0.80,102.75,11.84,0.00,2.88,0.00,0.50,24.12,2.78,0.50,4.32,0.54,0.00
0.00,0.77,71.56,0.00,0.50,2.88,0.33,0.50,24.12,2.78,0.50,4.32,0.54,0.00
0.00,0.77,69.24,0.00,0.50,2.88,0.33,0.50,24.12,2.78,0.50,4.32,0.54,0.00
-0.50,0.77,46.58,-5.82,0.50,2.88,0.33,0.50,24.12,2.78,0.50,4.32,0.54,0.00
0.00,0.80,55.64,0.00,0.50,2.88,0.33,0.50,24.12,2.78,0.50,4.32,0.54,0.00
0.50,0.80,108.20,12.47,0.00,2.88,0.00,0.50,24.12,2.78,0.50,4.32,0.54,0.00
0.50,0.77,103.46,11.92,0.00,2.88,0.00,0.50,24.12,2.78,0.50,4.32,0.54,0.00
0.00,0.74,77.90,0.00,0.50,2.88,0.33,0.50,24.12,2.78,0.50,4.32,0.54,0.00
-1.00,0.73,6.64,-1.66,0.50,9.52,1.10,0.50,12.12,1.40,-0.00,2.08,-0.00,0.00
0.00,0.79,63.45,0.00,0.50,9.52,1.10,0.50,12.12,1.40,0.50,2.08,0.26,0.00
1.00,0.79,98.52,22.71,0.00,9.52,0.00,0.00,12.12,0.00,0.50,2.08,0.26,0.00
