BattSchedule_MW,SOC_percent,EnergyPriceDA_€perMWh,EnergyProfit_€,FCRCapacity,FCRPrice_€perMW,FCRRev_€,aFRR_UpCapacity,aFRR_UpPrice_€perMW,aFRR_UpRev_€,aFRR_DownCapacity,aFRR_DownPrice_€perMW,aFRR_DownRev_€,CapacityObligation
0.00,0.50,75.01,0.00,0.25,34.84,2.01,0.25,2.08,0.12,0.50,30.08,3.76,0.00
0.00,0.50,-29.95,-0.00,0.25,34.84,2.01,0.25,2.08,0.12,0.50,30.08,3.76,0.00
0.00,0.50,-29.98,-0.00,0.25,34.84,2.01,0.25,2.08,0.12,0.50,30.08,3.76,0.00
0.00,0.50,-30.00,-0.00,0.25,34.84,2.01,0.25,2.08,0.12,0.50,30.08,3.76,0.00
0.00,0.50,26.81,0.00,0.25,34.84,2.01,0.25,2.08,0.12,0.50,30.08,3.76,0.00
0.00,0.50,-29.92,-0.00,0.25,34.84,2.01,0.25,2.08,0.12,0.50,30.08,3.76,0.00
0.00,0.50,-29.94,-0.00,0.25,34.84,2.01,0.25,2.08,0.12,0.50,30.08,3.76,0.00
0.00,0.50,-29.95,-0.00,0.25,34.84,2.01,0.25,2.08,0.12,0.50,30.08,3.76,0.00
0.00,0.50,-29.92,-0.00,0.25,34.84,2.01,0.25,2.08,0.12,0.50,30.08,3.76,0.00
0.00,0.50,-29.93,-0.00,0.25,34.84,2.01,0.25,2.08,0.12,0.50,30.08,3.76,0.00
0.00,0.50,-29.94,-0.00,0.25,34.84,2.01,0.25,2.08,0.12,0.50,30.08,3.76,0.00
0.00,0.49,-29.94,-0.00,0.25,34.84,2.01,0.25,2.08,0.12,0.50,30.08,3.76,0.00
0.00,0.49,-29.92,-0.00,0.25,34.84,2.01,0.25,2.08,0.12,0.50,30.08,3.76,0.00
0.00,0.49,-29.93,-0.00,0.25,34.84,2.01,0.25,2.08,0.12,0.50,30.08,3.76,0.00
0.00,0.49,-29.94,-0.00,0.25,34.84,2.01,0.25,2.08,0.12,0.50,30.08,3.76,0.00
0.00,0.49,-29.94,-0.00,0.25,34.84,2.01,0.25,2.08,0.12,0.50,30.08,3.76,0.00
0.00,0.49,-29.90,-0.00,0.25,35.32,2.04,0.25,2.80,0.16,0.50,29.12,3.64,0.00
0.00,0.49,-29.93,-0.00,0.25,35.32,2.04,0.25,2.80,0.16,0.50,29.12,3.64,0.00
0.00,0.49,-29.93,-0.00,0.25,35.32,2.04,0.25,2.80,0.16,0.50,29.12,3.64,0.00
0.00,0.49,-29.94,-0.00,0.25,35.32,2.04,0.25,2.80,0.16,0.50,29.12,3.64,0.00
0.00,0.49,0.84,0.00,0.25,35.32,2.04,0.25,2.80,0.16,0.50,29.12,3.64,0.00
0.00,0.49,-29.92,-0.00,0.25,35.32,2.04,0.25,2.80,0.16,0.50,29.12,3.64,0.00
0.00,0.49,-29.92,-0.00,0.25,35.32,2.04,0.25,2.80,0.16,0.50,29.12,3.64,0.00
0.00,0.49,-29.93,-0.00,0.25,35.32,2.04,0.25,2.80,0.16,0.50,29.12,3.64,0.00
0.00,0.49,11.73,0.00,0.25,35.32,2.04,0.25,2.80,0.16,0.50,29.12,3.64,0.00
0.00,0.49,-29.91,-0.00,0.25,35.32,2.04,0.25,2.80,0.16,0.50,29.12,3.64,0.00
0.00,0.49,-29.91,-0.00,0.25,35.32,2.04,0.25,2.80,0.16,0.50,29.12,3.64,0.00
0.00,0.49,-29.91,-0.00,0.25,35.32,2.04,0.25,2.80,0.16,0.50,29.12,3.64,0.00
0.00,0.49,-29.90,-0.00,0.25,35.32,2.04,0.25,2.80,0.16,0.50,29.12,3.64,0.00
0.00,0.49,-29.90,-0.00,0.25,35.32,2.04,0.25,2.80,0.16,0.50,29.12,3.64,0.00
0.00,0.49,-29.90,-0.00,0.25,35.32,2.04,0.25,2.80,0.16,0.50,29.12,3.64,0.00
0.00,0.48,17.70,0.00,0.25,35.32,2.04,0.25,2.80,0.16,0.50,29.12,3.64,0.00
0.00,0.48,-30.00,-0.00,0.25,20.24,1.17,0.25,4.56,0.26,0.50,12.24,1.53,0.00
0.00,0.48,-29.90,-0.00,0.25,20.24,1.17,0.25,4.56,0.26,0.50,12.24,1.53,0.00
0.00,0.48,-29.90,-0.00,0.25,20.24,1.17,0.25,4.56,0.26,0.50,12.24,1.53,0.00
0.00,0.48,5.21,0.00,0.25,20.24,1.17,0.25,4.56,0.26,0.50,12.24,1.53,0.00
0.00,0.48,-30.00,-0.00,0.25,20.24,1.17,0.25,4.56,0.26,0.50,12.24,1.53,0.00
0.00,0.48,-29.90,-0.00,0.25,20.24,1.17,0.25,4.56,0.26,0.50,12.24,1.53,0.00
0.00,0.48,-29.90,-0.00,0.25,20.24,1.17,0.25,4.56,0.26,0.50,12.24,1.53,0.00
0.00,0.48,91.99,0.00,0.25,20.24,1.17,0.25,4.56,0.26,0.50,12.24,1.53,0.00
0.00,0.48,-29.90,-0.00,0.25,20.24,1.17,0.25,4.56,0.26,0.50,12.24,1.53,0.00
0.00,0.48,-29.90,-0.00,0.25,20.24,1.17,0.25,4.56,0.26,0.50,12.24,1.53,0.00
0.00,0.48,-29.90,-0.00,0.25,20.24,1.17,0.25,4.56,0.26,0.50,12.24,1.53,0.00
0.00,0.48,91.35,0.00,0.25,20.24,1.17,0.25,4.56,0.26,0.50,12.24,1.53,0.00
-0.11,0.48,-30.00,0.84,0.25,20.24,1.17,0.25,4.56,0.26,0.50,12.24,1.53,0.00
0.00,0.53,-29.90,-0.00,0.25,20.24,1.17,0.25,4.56,0.26,0.50,12.24,1.53,0.00
0.00,0.53,-29.90,-0.00,0.25,20.24,1.17,0.25,4.56,0.26,0.50,12.24,1.53,0.00
0.00,0.53,91.57,0.00,0.25,20.24,1.17,0.25,4.56,0.26,0.50,12.24,1.53,0.00
0.00,0.53,-29.90,-0.00,0.25,17.84,1.03,0.25,2.12,0.12,0.50,11.12,1.39,0.00
0.00,0.53,125.69,0.00,0.25,17.84,1.03,0.25,2.12,0.12,0.50,11.12,1.39,0.00
0.00,0.53,-29.91,-0.00,0.25,17.84,1.03,0.25,2.12,0.12,0.50,11.12,1.39,0.00
0.00,0.53,-29.92,-0.00,0.25,17.84,1.03,0.25,2.12,0.12,0.50,11.12,1.39,0.00
0.00,0.53,136.41,0.00,0.25,17.84,1.03,0.25,2.12,0.12,0.50,11.12,1.39,0.00
0.00,0.53,-29.94,-0.00,0.25,17.84,1.03,0.25,2.12,0.12,0.50,11.12,1.39,0.00
0.00,0.53,-29.95,-0.00,0.25,17.84,1.03,0.25,2.12,0.12,0.50,11.12,1.39,0.00
0.00,0.52,-29.97,-0.00,0.25,17.84,1.03,0.25,2.12,0.12,0.50,11.12,1.39,0.00
0.00,0.52,168.30,0.00,0.25,17.84,1.03,0.25,2.12,0.12,0.50,11.12,1.39,0.00
0.00,0.52,-29.93,-0.00,0.25,17.84,1.03,0.25,2.12,0.12,0.50,11.12,1.39,0.00
0.00,0.52,-29.93,-0.00,0.25,17.84,1.03,0.25,2.12,0.12,0.50,11.12,1.39,0.00
0.00,0.52,-29.93,-0.00,0.25,17.84,1.03,0.25,2.12,0.12,0.50,11.12,1.39,0.00
0.00,0.52,271.20,0.00,0.25,17.84,1.03,0.25,2.12,0.12,0.50,11.12,1.39,0.00
0.00,0.52,-29.90,-0.00,0.25,17.84,1.03,0.25,2.12,0.12,0.50,11.12,1.39,0.00
0.00,0.52,-29.90,-0.00,0.25,17.84,1.03,0.25,2.12,0.12,0.50,11.12,1.39,0.00
0.00,0.52,-29.90,-0.00,0.25,17.84,1.03,0.25,2.12,0.12,0.50,11.12,1.39,0.00
0.00,0.52,-29.90,-0.00,0.25,15.48,0.89,0.25,9.28,0.53,0.50,8.76,1.09,0.00
0.00,0.52,-29.90,-0.00,0.25,15.48,0.89,0.25,9.28,0.53,0.50,8.76,1.09,0.00
0.00,0.52,-29.90,-0.00,0.25,15.48,0.89,0.25,9.28,0.53,0.50,8.76,1.09,0.00
0.00,0.52,279.26,0.00,0.25,15.48,0.89,0.25,9.28,0.53,0.50,8.76,1.09,0.00
-0.50,0.52,-30.00,3.75,0.25,15.48,0.89,0.25,9.28,0.53,0.50,8.76,1.09,0.00
-0.50,0.75,-30.00,3.75,0.25,15.48,0.89,0.25,9.28,0.53,0.50,8.76,1.09,0.00
0.00,0.98,-29.90,-0.00,0.25,15.48,0.89,0.25,9.28,0.53,0.50,8.76,1.09,0.00
1.00,0.98,480.14,110.67,-0.00,15.48,-0.00,0.00,9.28,0.00,0.00,8.76,0.00,0.00
-0.50,0.48,-30.00,3.75,0.25,15.48,0.89,0.25,9.28,0.53,0.50,8.76,1.09,0.00
0.00,0.71,-29.90,-0.00,0.25,15.48,0.89,0.25,9.28,0.53,0.50,8.76,1.09,0.00
0.00,0.71,-29.90,-0.00,0.25,15.48,0.89,0.25,9.28,0.53,0.50,8.76,1.09,0.00
1.00,0.71,499.90,115.22,-0.00,15.48,-0.00,0.00,9.28,0.00,0.00,8.76,0.00,0.00
-0.35,0.21,-29.90,2.65,0.25,15.48,0.89,0.25,9.28,0.53,0.50,8.76,1.09,0.00
-0.50,0.37,-29.90,3.74,0.25,15.48,0.89,0.25,9.28,0.53,0.50,8.76,1.09,0.00
1.00,0.60,376.56,86.79,-0.00,15.48,-0.00,0.00,9.28,0.00,0.00,8.76,0.00,0.00
-0.00,0.10,-29.90,0.02,0.25,15.48,0.89,0.25,9.28,0.53,0.50,8.76,1.09,0.00
0.00,0.10,277.06,0.00,0.25,14.88,0.86,0.25,7.44,0.43,0.50,11.96,1.50,0.00
-0.00,0.10,-29.90,0.01,0.25,14.88,0.86,0.25,7.44,0.43,0.50,11.96,1.50,0.00
-0.00,0.10,-30.00,0.01,0.25,14.88,0.86,0.25,7.44,0.43,0.50,11.96,1.50,0.00
-0.03,0.10,-30.00,0.23,0.25,14.88,0.86,0.25,7.44,0.43,0.50,11.96,1.50,0.00
0.00,0.11,253.71,0.00,0.25,14.88,0.86,0.25,7.44,0.43,0.50,11.96,1.50,0.00
0.00,0.11,-29.90,-0.00,0.25,14.88,0.86,0.25,7.44,0.43,0.50,11.96,1.50,0.00
0.00,0.11,-29.90,-0.00,0.25,14.88,0.86,0.25,7.44,0.43,0.50,11.96,1.50,0.00
0.00,0.11,-29.90,-0.00,0.25,14.88,0.86,0.25,7.44,0.43,0.50,11.96,1.50,0.00
0.00,0.11,219.70,0.00,0.25,14.88,0.86,0.25,7.44,0.43,0.50,11.96,1.50,0.00
0.00,0.11,-29.92,-0.00,0.25,14.88,0.86,0.25,7.44,0.43,0.50,11.96,1.50,0.00
0.00,0.11,-29.94,-0.00,0.25,14.88,0.86,0.25,7.44,0.43,0.50,11.96,1.50,0.00
0.00,0.11,-29.95,-0.00,0.25,14.88,0.86,0.25,7.44,0.43,0.50,11.96,1.50,0.00
0.00,0.11,184.69,0.00,0.25,14.88,0.86,0.25,7.44,0.43,0.50,11.96,1.50,0.00
0.00,0.11,-29.94,-0.00,0.25,14.88,0.86,0.25,7.44,0.43,0.50,11.96,1.50,0.00
0.00,0.11,-29.96,-0.00,0.25,14.88,0.86,0.25,7.44,0.43,0.50,11.96,1.50,0.00
0.00,0.11,-29.98,-0.00,0.25,14.88,0.86,0.25,7.44,0.43,0.50,11.96,1.50,0.00
0.00,0.11,149.91,0.00,0.25,28.00,1.61,0.25,2.28,0.13,0.50,27.24,3.40,0.00
0.00,0.11,-29.95,-0.00,0.25,28.00,1.61,0.25,2.28,0.13,0.50,27.24,3.40,0.00
0.00,0.11,-29.97,-0.00,0.25,28.00,1.61,0.25,2.28,0.13,0.50,27.24,3.40,0.00
0.00,0.11,-29.99,-0.00,0.25,28.00,1.61,0.25,2.28,0.13,0.50,27.24,3.40,0.00
0.00,0.11,109.25,0.00,0.25,28.00,1.61,0.25,2.28,0.13,0.50,27.24,3.40,0.00
0.00,0.11,-29.92,-0.00,0.25,28.00,1.61,0.25,2.28,0.13,0.50,27.24,3.40,0.00
0.00,0.10,-29.93,-0.00,0.25,28.00,1.61,0.25,2.28,0.13,0.50,27.24,3.40,0.00
0.00,0.10,-29.94,-0.00,0.25,28.00,1.61,0.25,2.28,0.13,0.50,27.24,3.40,0.00
0.00,0.10,94.88,0.00,0.25,28.00,1.61,0.25,2.28,0.13,0.50,27.24,3.40,0.00
0.00,0.10,-29.91,-0.00,0.25,28.00,1.61,0.25,2.28,0.13,0.50,27.24,3.40,0.00
0.00,0.10,-29.90,-0.00,0.25,28.00,1.61,0.25,2.28,0.13,0.50,27.24,3.40,0.00
0.00,0.10,-29.90,-0.00,0.25,28.00,1.61,0.25,2.28,0.13,0.50,27.24,3.40,0.00
0.00,0.10,-29.91,-0.00,0.25,28.00,1.61,0.25,2.28,0.13,0.50,27.24,3.40,0.00
0.00,0.10,-29.92,-0.00,0.25,28.00,1.61,0.25,2.28,0.13,0.50,27.24,3.40,0.00
0.00,0.10,-29.92,-0.00,0.25,28.00,1.61,0.25,2.28,0.13,0.50,27.24,3.40,0.00
0.00,0.10,96.35,0.00,0.25,28.00,1.61,0.25,2.28,0.13,0.50,27.24,3.40,0.00
-0.02,0.10,-53.12,0.32,0.25,23.64,1.36,0.25,3.84,0.22,0.50,25.52,3.19,0.00
0.00,0.11,-30.00,-0.00,0.25,23.64,1.36,0.25,3.84,0.22,0.50,25.52,3.19,0.00
0.00,0.11,-29.97,-0.00,0.25,23.64,1.36,0.25,3.84,0.22,0.50,25.52,3.19,0.00
0.00,0.11,161.08,0.00,0.25,23.64,1.36,0.25,3.84,0.22,0.50,25.52,3.19,0.00
