BattSchedule_MW,SOC_percent,EnergyPriceDA_€perMWh,EnergyProfit_€,FCRCapacity,FCRPrice_€perMW,FCRRev_€,aFRR_UpCapacity,aFRR_UpPrice_€perMW,aFRR_UpRev_€,aFRR_DownCapacity,aFRR_DownPrice_€perMW,aFRR_DownRev_€,CapacityObligation
1.00,0.50,75.01,17.29,-0.00,34.84,-0.00,0.00,2.08,0.00,0.50,30.08,3.76,0.00
-0.50,0.44,-29.95,3.74,0.25,34.84,2.01,0.25,2.08,0.12,0.50,30.08,3.76,0.00
-0.50,0.47,-29.98,3.75,0.25,34.84,2.01,0.25,2.08,0.12,0.50,30.08,3.76,0.00
-0.50,0.50,-30.00,3.75,0.25,34.84,2.01,0.25,2.08,0.12,0.50,30.08,3.76,0.00
0.75,0.52,26.81,4.63,0.25,34.84,2.01,0.00,2.08,0.00,0.50,30.08,3.76,0.00
-0.50,0.48,-29.92,3.74,0.25,34.84,2.01,0.25,2.08,0.12,0.50,30.08,3.76,0.00
-0.50,0.51,-29.94,3.74,0.25,34.84,2.01,0.25,2.08,0.12,0.50,30.08,3.76,0.00
-0.50,0.54,-29.95,3.74,0.25,34.84,2.01,0.25,2.08,0.12,0.50,30.08,3.76,0.00
-0.39,0.56,-29.92,2.91,0.25,34.84,2.01,0.25,2.08,0.12,0.50,30.08,3.76,0.00
-0.50,0.59,-29.93,3.74,0.25,34.84,2.01,0.25,2.08,0.12,0.50,30.08,3.76,0.00
-0.50,0.62,-29.94,3.74,0.25,34.84,2.01,0.25,2.08,0.12,0.50,30.08,3.76,0.00
-0.50,0.64,-29.94,3.74,0.25,34.84,2.01,0.25,2.08,0.12,0.50,30.08,3.76,0.00
-0.50,0.67,-29.92,3.74,0.25,34.84,2.01,0.25,2.08,0.12,0.50,30.08,3.76,0.00
-0.50,0.70,-29.93,3.74,0.25,34.84,2.01,0.25,2.08,0.12,0.50,30.08,3.76,0.00
-0.50,0.73,-29.94,3.74,0.25,34.84,2.01,0.25,2.08,0.12,0.50,30.08,3.76,0.00
-0.50,0.76,-29.94,3.74,0.25,34.84,2.01,0.25,2.08,0.12,0.50,30.08,3.76,0.00
0.00,0.79,-29.90,-0.00,0.25,35.32,2.04,0.25,2.80,0.16,0.50,29.12,3.64,0.00
-0.50,0.79,-29.93,3.74,0.25,35.32,2.04,0.25,2.80,0.16,0.50,29.12,3.64,0.00
-0.50,0.82,-29.93,3.74,0.25,35.32,2.04,0.25,2.80,0.16,0.50,29.12,3.64,0.00
-0.50,0.85,-29.94,3.74,0.25,35.32,2.04,0.25,2.80,0.16,0.50,29.12,3.64,0.00
0.00,0.87,0.84,0.00,0.25,35.32,2.04,0.25,2.80,0.16,0.50,29.12,3.64,0.00
-0.50,0.87,-29.92,3.74,0.25,35.32,2.04,0.25,2.80,0.16,0.50,29.12,3.64,0.00
-0.50,0.90,-29.92,3.74,0.25,35.32,2.04,0.25,2.80,0.16,0.50,29.12,3.64,0.00
-0.50,0.93,-29.93,3.74,0.25,35.32,2.04,0.25,2.80,0.16,0.50,29.12,3.64,0.00
0.00,0.96,11.73,0.00,0.25,35.32,2.04,0.25,2.80,0.16,0.50,29.12,3.64,0.00
0.00,0.96,-29.91,-0.00,0.25,35.32,2.04,0.25,2.80,0.16,0.50,29.12,3.64,0.00
0.00,0.96,-29.91,-0.00,0.25,35.32,2.04,0.25,2.80,0.16,0.50,29.12,3.64,0.00
0.00,0.96,-29.91,-0.00,0.25,35.32,2.04,0.25,2.80,0.16,0.50,29.12,3.64,0.00
0.00,0.96,-29.90,-0.00,0.25,35.32,2.04,0.25,2.80,0.16,0.50,29.12,3.64,0.00
0.00,0.96,-29.90,-0.00,0.25,35.32,2.04,0.25,2.80,0.16,0.50,29.12,3.64,0.00
0.00,0.96,-29.90,-0.00,0.25,35.32,2.04,0.25,2.80,0.16,0.50,29.12,3.64,0.00
0.50,0.96,17.70,2.04,0.25,35.32,2.04,0.25,2.80,0.16,0.50,29.12,3.64,0.00
-0.50,0.93,-30.00,3.75,0.25,20.24,1.17,0.25,4.56,0.26,0.50,12.24,1.53,0.00
0.00,0.96,-29.90,-0.00,0.25,20.24,1.17,0.25,4.56,0.26,0.50,12.24,1.53,0.00
0.00,0.96,-29.90,-0.00,0.25,20.24,1.17,0.25,4.56,0.26,0.50,12.24,1.53,0.00
0.00,0.96,5.21,0.00,0.25,20.24,1.17,0.25,4.56,0.26,0.50,12.24,1.53,0.00
-0.50,0.96,-30.00,3.75,0.25,20.24,1.17,0.25,4.56,0.26,0.50,12.24,1.53,0.00
0.00,0.99,-29.90,-0.00,0.25,20.24,1.17,0.25,4.56,0.26,0.50,12.24,1.53,0.00
