BattSchedule_MW,SOC_percent,EnergyPriceDA_JPYperMWh,EnergyProfit_JPY,primaryCapacity,primaryPrice_JPYperMW,primaryRev_JPY,secondary_1Capacity,secondary_1Price_JPYperMW,secondary_1Rev_JPY,tertiary_1Capacity,tertiary_1Price_JPYperMW,tertiary_1Rev_JPY,tertiary_2Capacity,tertiary_2Price_JPYperMW,tertiary_2Rev_JPY,secondary_2Capacity,secondary_2Price_JPYperMW,secondary_2Rev_JPY,CapacityObligation
0.00,0.50,23700.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,4760.00,1097.13,0.00,0.00,0.00,0.00
0.00,0.50,23660.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,4760.00,1097.13,0.00,0.00,0.00,0.00
-0.50,0.50,23300.00,-5825.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,4760.00,1097.13,0.00,0.00,0.00,0.00
-0.00,0.62,23540.00,-43.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,4760.00,1097.13,0.00,0.00,0.00,0.00
-0.50,0.62,23000.00,-5750.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,4760.00,1097.13,0.00,0.00,0.00,0.00
0.00,0.73,23660.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,4760.00,1097.13,0.00,0.00,0.00,0.00
0.00,0.73,23000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.34,3020.00,475.83,0.50,3600.00,829.76,0.00,0.00,0.00,0.00
0.00,0.73,23000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.34,3020.00,475.83,0.50,3600.00,829.76,0.00,0.00,0.00,0.00
0.00,0.73,22000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.34,3020.00,475.83,0.50,3600.00,829.76,0.00,0.00,0.00,0.00
0.00,0.73,21860.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.34,3020.00,475.83,0.50,3600.00,829.76,0.00,0.00,0.00,0.00
0.00,0.73,21790.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.34,3020.00,475.83,0.50,3600.00,829.76,0.00,0.00,0.00,0.00
0.00,0.73,21300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.34,3020.00,475.83,0.50,3600.00,829.76,0.00,0.00,0.00,0.00
0.16,0.73,21790.00,1589.10,0.00,0.00,0.00,0.00,0.00,0.00,0.34,3020.00,475.83,0.50,6120.00,1410.59,0.00,0.00,0.00,0.00
0.21,0.69,22800.00,2217.01,0.00,0.00,0.00,0.00,0.00,0.00,0.29,3020.00,402.42,0.50,6120.00,1410.59,0.00,0.00,0.00,0.00
0.28,0.64,23660.00,3067.52,0.00,0.00,0.00,0.00,0.00,0.00,0.22,3020.00,304.53,0.50,6120.00,1410.59,0.00,0.00,0.00,0.00
0.38,0.57,22710.00,3925.80,0.00,0.00,0.00,0.00,0.00,0.00,0.12,3020.00,174.02,0.50,6120.00,1410.59,0.00,0.00,0.00,0.00
0.50,0.47,21350.00,4920.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3020.00,0.00,0.50,6120.00,1410.59,0.00,0.00,0.00,0.00
0.25,0.35,17620.00,2030.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3020.00,0.00,0.33,6120.00,940.39,0.00,0.00,0.00,0.00
0.75,0.29,16000.00,5531.73,0.00,0.00,0.00,0.00,0.00,0.00,0.25,9140.00,1053.33,0.00,5500.00,0.00,0.00,0.00,0.00,0.00
-1.00,0.10,5000.00,-2500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9140.00,0.00,0.00,5500.00,0.00,0.00,0.00,0.00,0.00
-0.63,0.33,5000.00,-1567.45,0.00,0.00,0.00,0.00,0.00,0.00,0.31,9140.00,1294.83,0.00,5500.00,0.00,0.00,0.00,0.00,0.00
-0.50,0.47,20.00,-5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,9140.00,2106.67,0.00,5500.00,0.00,0.00,0.00,0.00,0.00
-0.35,0.59,10.00,-1.73,0.00,0.00,0.00,0.00,0.00,0.00,0.50,9140.00,2106.67,0.15,5500.00,389.58,0.00,0.00,0.00,0.00
-0.24,0.67,10.00,-1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.50,9140.00,2106.67,0.26,5500.00,659.44,0.00,0.00,0.00,0.00
-0.17,0.73,10.00,-0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.50,14000.00,3226.84,0.33,5040.00,775.58,0.00,0.00,0.00,0.00
-0.12,0.76,10.00,-0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.50,14000.00,3226.84,0.38,5040.00,894.23,0.00,0.00,0.00,0.00
-0.08,0.79,10.00,-0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.50,14000.00,3226.84,0.42,5040.00,976.42,0.00,0.00,0.00,0.00
-0.50,0.81,10.00,-2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.50,14000.00,3226.84,0.00,5040.00,0.00,0.00,0.00,0.00,0.00
