Simulated Durations,"[1, 2, 3, 4]"
Simulated Round Trip Efficiency,0.85
Simulated Annual Cycle Limit,360
Simulated Timesteps,17520
Simulated Lookahead Horizon,8760
Simulated Rolling Horizon,8760
Simulated Timesteps per Hour,2
Simulated Ancillary Services,"['primary', 'secondary_1', 'secondary_2', 'tertiary_1', 'tertiary_2']"
Net Revenue 2022_1 (JPY/a),27841030.29557155
Energy Profit 2022_1 (JPY/a),6718760.219875003
PRIMARY Revenue 2022_1 Revenue (JPY/a),0.0
SECONDARY_1 Revenue 2022_1 Revenue (JPY/a),0.0
SECONDARY_2 Revenue 2022_1 Revenue (JPY/a),0.0
TERTIARY_1 Revenue 2022_1 Revenue (JPY/a),11146029.212998832
TERTIARY_2 Revenue 2022_1 Revenue (JPY/a),9976240.862697726
Net Revenue 2022_2 (JPY/a),45480084.7981688
Energy Profit 2022_2 (JPY/a),12562251.339573814
PRIMARY Revenue 2022_2 Revenue (JPY/a),0.0
SECONDARY_1 Revenue 2022_2 Revenue (JPY/a),0.0
SECONDARY_2 Revenue 2022_2 Revenue (JPY/a),0.0
TERTIARY_1 Revenue 2022_2 Revenue (JPY/a),17194190.308825076
TERTIARY_2 Revenue 2022_2 Revenue (JPY/a),15723643.149766825
Net Revenue 2022_3 (JPY/a),50591440.642296925
Energy Profit 2022_3 (JPY/a),18366451.383490205
PRIMARY Revenue 2022_3 Revenue (JPY/a),0.0
SECONDARY_1 Revenue 2022_3 Revenue (JPY/a),0.0
SECONDARY_2 Revenue 2022_3 Revenue (JPY/a),0.0
TERTIARY_1 Revenue 2022_3 Revenue (JPY/a),16960431.640320335
TERTIARY_2 Revenue 2022_3 Revenue (JPY/a),15264557.618483717
Net Revenue 2022_4 (JPY/a),54323294.88409033
Energy Profit 2022_4 (JPY/a),22935749.4717081
PRIMARY Revenue 2022_4 Revenue (JPY/a),0.0
SECONDARY_1 Revenue 2022_4 Revenue (JPY/a),0.0
SECONDARY_2 Revenue 2022_4 Revenue (JPY/a),0.0
TERTIARY_1 Revenue 2022_4 Revenue (JPY/a),16689962.638718147
TERTIARY_2 Revenue 2022_4 Revenue (JPY/a),14697582.773661427
Net Revenue 2023_1 (JPY/a),24266660.691577584
Energy Profit 2023_1 (JPY/a),2348263.0696833413
PRIMARY Revenue 2023_1 Revenue (JPY/a),0.0
SECONDARY_1 Revenue 2023_1 Revenue (JPY/a),0.0
SECONDARY_2 Revenue 2023_1 Revenue (JPY/a),0.0
TERTIARY_1 Revenue 2023_1 Revenue (JPY/a),17029526.52449224
TERTIARY_2 Revenue 2023_1 Revenue (JPY/a),4888871.097401196
Net Revenue 2023_2 (JPY/a),38139091.50152434
Energy Profit 2023_2 (JPY/a),4456635.485166095
PRIMARY Revenue 2023_2 Revenue (JPY/a),0.0
SECONDARY_1 Revenue 2023_2 Revenue (JPY/a),0.0
SECONDARY_2 Revenue 2023_2 Revenue (JPY/a),0.0
TERTIARY_1 Revenue 2023_2 Revenue (JPY/a),25724159.988416314
TERTIARY_2 Revenue 2023_2 Revenue (JPY/a),7958296.027941245
Net Revenue 2023_3 (JPY/a),40168282.51239867
Energy Profit 2023_3 (JPY/a),6836396.90830392
PRIMARY Revenue 2023_3 Revenue (JPY/a),0.0
SECONDARY_1 Revenue 2023_3 Revenue (JPY/a),0.0
SECONDARY_2 Revenue 2023_3 Revenue (JPY/a),0.0
TERTIARY_1 Revenue 2023_3 Revenue (JPY/a),25674828.503143717
TERTIARY_2 Revenue 2023_3 Revenue (JPY/a),7657057.1009499645
Net Revenue 2023_4 (JPY/a),41567840.97084964
Energy Profit 2023_4 (JPY/a),8622717.176297428
PRIMARY Revenue 2023_4 Revenue (JPY/a),0.0
SECONDARY_1 Revenue 2023_4 Revenue (JPY/a),0.0
SECONDARY_2 Revenue 2023_4 Revenue (JPY/a),0.0
TERTIARY_1 Revenue 2023_4 Revenue (JPY/a),25578158.79388978
TERTIARY_2 Revenue 2023_4 Revenue (JPY/a),7366965.000661406
Net Revenue 2024_1 (JPY/a),52036784.8569123
Energy Profit 2024_1 (JPY/a),798953.8632023656
PRIMARY Revenue 2024_1 Revenue (JPY/a),9032064.576067919
SECONDARY_1 Revenue 2024_1 Revenue (JPY/a),9536976.063046094
SECONDARY_2 Revenue 2024_1 Revenue (JPY/a),7452372.182672517
TERTIARY_1 Revenue 2024_1 Revenue (JPY/a),10663305.80567815
TERTIARY_2 Revenue 2024_1 Revenue (JPY/a),14553112.366245227
Net Revenue 2024_2 (JPY/a),63054192.38143064
Energy Profit 2024_2 (JPY/a),1926264.7837994625
PRIMARY Revenue 2024_2 Revenue (JPY/a),7824664.066997166
SECONDARY_1 Revenue 2024_2 Revenue (JPY/a),8659299.976179412
SECONDARY_2 Revenue 2024_2 Revenue (JPY/a),6077171.19386299
TERTIARY_1 Revenue 2024_2 Revenue (JPY/a),16332744.06546185
TERTIARY_2 Revenue 2024_2 Revenue (JPY/a),22234048.295130707
Net Revenue 2024_3 (JPY/a),63512889.894124456
Energy Profit 2024_3 (JPY/a),2856473.6623776485
PRIMARY Revenue 2024_3 Revenue (JPY/a),7690414.927963435
SECONDARY_1 Revenue 2024_3 Revenue (JPY/a),8575239.491014516
SECONDARY_2 Revenue 2024_3 Revenue (JPY/a),5976768.3854385875
TERTIARY_1 Revenue 2024_3 Revenue (JPY/a),16275197.017768364
TERTIARY_2 Revenue 2024_3 Revenue (JPY/a),22138796.40956305
Net Revenue 2024_4 (JPY/a),63752795.99224283
Energy Profit 2024_4 (JPY/a),3392958.8602687563
PRIMARY Revenue 2024_4 Revenue (JPY/a),7629674.982978574
