BattSchedule_MW,SOC_percent,EnergyPriceDA_USDperMWh,EnergyProfit_USD,DRHCapacity,DRHPrice_USDperMW,DRHRev_USD,DCHCapacity,DCHPrice_USDperMW,DCHRev_USD,LFSCapacity,LFSPrice_USDperMW,LFSRev_USD,DMLCapacity,DMLPrice_USDperMW,DMLRev_USD,DLCapacity,DLPrice_USDperMW,DLRev_USD,DMHCapacity,DMHPrice_USDperMW,DMHRev_USD,DCLCapacity,DCLPrice_USDperMW,DCLRev_USD,DRLCapacity,DRLPrice_USDperMW,DRLRev_USD,DHCapacity,DHPrice_USDperMW,DHRev_USD,CapacityObligation,BMBuyPrice,BMSellPrice,BMBuyBackValue_USD
-0.02,0.50,65.73,-1.42,0.00,0.00,0.00,0.00,0.00,0.00,0.66,5.40,3.29,0.00,0.00,0.00,0.50,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,4.00,-0.00,0.00,73.15,73.15,0.01
0.00,0.62,64.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.72,5.40,3.59,0.00,0.00,0.00,0.50,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,71.95,71.95,0.00
0.00,0.70,60.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.76,5.40,3.78,0.00,0.00,0.00,0.50,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,54.55,54.55,0.00
0.00,0.77,52.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,5.40,3.97,0.00,0.00,0.00,0.50,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,70.72,70.72,0.00
0.00,0.85,48.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.84,5.40,4.16,0.00,0.00,0.00,0.50,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,54.98,54.98,0.00
0.00,0.93,48.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.87,5.40,4.35,0.00,0.00,0.00,0.50,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,39.00,39.00,0.00
0.04,1.00,48.96,1.67,0.00,0.00,0.00,0.00,0.00,0.00,0.91,5.40,4.54,0.00,0.00,0.00,0.50,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,4.00,-0.00,0.00,43.64,43.64,0.01
0.00,1.00,52.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3.40,1.57,0.00,0.00,0.00,0.50,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.41,4.00,1.52,0.00,29.01,29.01,0.00
0.00,1.00,51.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3.40,1.57,0.00,0.00,0.00,0.50,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.41,4.00,1.52,0.00,17.54,17.54,0.00
0.00,1.00,55.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3.40,1.57,0.00,0.00,0.00,0.50,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.41,4.00,1.52,0.00,49.73,49.73,0.00
0.00,1.00,57.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3.40,1.57,0.00,0.00,0.00,0.50,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.41,4.00,1.52,0.00,38.00,38.00,0.00
0.00,1.00,60.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3.40,1.57,0.00,0.00,0.00,0.50,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.41,4.00,1.52,0.00,74.00,74.00,0.00
0.00,1.00,62.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3.40,1.57,0.00,0.00,0.00,0.50,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.41,4.00,1.52,0.00,74.00,74.00,0.00
0.00,1.00,68.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3.40,1.57,0.00,0.00,0.00,0.50,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.41,4.00,1.52,0.00,78.75,78.75,0.00
0.00,1.00,68.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3.40,1.57,0.00,0.00,0.00,0.50,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.41,4.00,1.52,0.00,82.50,82.50,0.00
-0.05,1.00,59.04,-2.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.40,0.00,0.00,0.00,0.00,0.50,9.65,4.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,9.65,8.10,0.00,84.95,84.95,0.06
-0.05,1.00,70.07,-3.42,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,3.40,-0.00,0.00,0.00,0.00,0.50,9.65,4.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,9.65,8.10,0.00,85.95,85.95,0.04
0.09,1.00,100.07,8.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.40,0.00,0.00,0.00,0.00,0.50,9.65,4.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,9.65,8.10,0.00,92.47,92.47,0.03
-0.18,0.73,70.82,-12.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.40,0.00,0.00,0.00,0.00,0.50,9.65,4.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,9.65,6.91,0.00,87.00,87.00,0.15
0.00,1.00,71.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,3.40,-0.00,0.00,0.00,0.00,0.50,11.69,5.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,11.69,9.82,0.00,87.00,87.00,0.00
-0.09,0.91,60.51,-5.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.40,0.00,0.00,0.00,0.00,0.50,11.69,5.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.87,11.69,9.33,0.00,80.90,80.90,0.09
-0.05,1.00,59.24,-2.89,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,3.40,-0.00,0.00,0.00,0.00,0.50,11.69,5.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,11.69,9.82,1.00,57.05,57.05,0.01
-0.01,1.00,56.96,-0.47,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,3.40,-0.00,0.00,0.00,0.00,0.50,11.69,5.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,11.69,9.82,0.00,53.65,53.65,0.00
0.00,0.93,57.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.87,5.40,4.35,0.00,0.00,0.00,0.50,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,39.25,39.25,0.00
0.04,1.00,63.91,2.18,0.00,0.00,0.00,0.00,0.00,0.00,0.91,5.40,4.54,0.00,0.00,0.00,0.50,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,4.00,-0.00,0.00,53.66,53.66,0.02
0.07,1.00,66.12,4.53,0.00,0.00,0.00,0.00,0.00,0.00,0.91,5.40,4.54,0.00,0.00,0.00,0.50,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,4.00,-0.00,0.00,68.00,68.00,0.01
0.00,0.93,59.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.87,5.40,4.35,0.00,0.00,0.00,0.50,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,19.39,19.39,0.00
0.00,1.00,54.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.40,0.00,0.00,0.00,0.00,0.50,6.53,3.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,6.53,5.48,0.00,65.97,65.97,0.00
-0.09,0.91,49.65,-4.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.40,0.00,0.00,0.00,0.00,0.50,6.53,3.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.87,6.53,5.21,0.00,65.97,65.97,0.08
-0.05,1.00,49.20,-2.40,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,5.40,-0.00,0.00,0.00,0.00,0.50,6.53,3.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,6.53,5.48,0.00,65.97,65.97,0.04
-0.05,1.00,56.91,-2.78,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,5.40,-0.00,0.00,0.00,0.00,0.50,6.53,3.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,6.53,5.48,0.00,38.19,38.19,0.05
