BattSchedule_MW,SOC_percent,EnergyPriceDA_USDperMWh,EnergyProfit_USD,DRHCapacity,DRHPrice_USDperMW,DRHRev_USD,DCHCapacity,DCHPrice_USDperMW,DCHRev_USD,LFSCapacity,LFSPrice_USDperMW,LFSRev_USD,DMLCapacity,DMLPrice_USDperMW,DMLRev_USD,DLCapacity,DLPrice_USDperMW,DLRev_USD,DMHCapacity,DMHPrice_USDperMW,DMHRev_USD,DCLCapacity,DCLPrice_USDperMW,DCLRev_USD,DRLCapacity,DRLPrice_USDperMW,DRLRev_USD,DHCapacity,DHPrice_USDperMW,DHRev_USD,CapacityObligation,BMBuyPrice,BMSellPrice,BMBuyBackValue_USD
-0.26,0.50,2.48,-0.64,0.05,1.27,0.06,0.34,1.00,0.32,0.00,0.00,0.00,0.00,4.00,0.02,0.00,0.00,0.00,0.03,6.25,0.18,0.41,2.49,1.02,0.01,6.85,0.06,0.00,0.00,0.00,0.00,95.97,95.97,2.43
0.00,0.56,13.01,0.00,0.05,1.27,0.06,0.34,1.00,0.32,0.00,0.00,0.00,0.00,4.00,0.02,0.00,0.00,0.00,0.03,6.25,0.18,0.41,2.49,1.02,0.01,6.85,0.06,0.00,0.00,0.00,0.00,90.93,90.93,0.00
0.97,0.56,25.05,22.37,0.00,1.27,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,4.00,0.02,0.00,0.00,0.00,0.03,6.25,0.18,0.41,2.49,1.02,0.01,6.85,0.06,0.00,0.00,0.00,0.00,-38.30,-38.30,6.14
-0.59,0.32,0.99,-0.58,0.00,0.00,0.00,0.34,1.76,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,6.50,0.15,0.41,3.50,1.42,0.01,3.00,0.02,0.00,0.00,0.00,0.00,-46.02,-46.02,2.77
-0.59,0.45,0.00,-0.00,0.00,0.00,0.00,0.34,1.76,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,6.50,0.15,0.41,3.50,1.42,0.01,3.00,0.02,0.00,0.00,0.00,0.00,-30.86,-30.86,1.82
-0.59,0.59,-0.01,0.01,0.00,0.00,0.00,0.34,1.76,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,6.50,0.15,0.41,3.50,1.42,0.01,3.00,0.02,0.00,0.00,0.00,0.00,-38.30,-38.30,2.25
-0.59,0.73,-0.01,0.01,0.00,0.00,0.00,0.34,1.76,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,6.50,0.15,0.41,3.50,1.42,0.01,3.00,0.02,0.00,0.00,0.00,0.00,-43.44,-43.44,2.56
-0.60,0.86,1.00,-0.60,0.05,2.53,0.11,0.34,4.00,1.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,5.87,0.20,0.39,3.50,1.37,0.01,4.00,0.03,0.00,0.00,0.00,0.00,-44.09,-44.09,2.71
-0.00,1.00,12.04,-0.02,0.05,2.53,0.11,0.34,4.00,1.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,5.87,0.20,0.39,3.50,1.37,0.01,4.00,0.03,0.00,0.00,0.00,0.00,-35.66,-35.66,0.01
-0.00,1.00,46.80,-0.06,0.05,2.53,0.11,0.34,4.00,1.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,5.87,0.20,0.39,3.50,1.37,0.01,4.00,0.03,0.00,0.00,0.00,0.00,200.00,200.00,0.02
-0.00,1.00,109.04,-0.15,0.05,2.53,0.11,0.34,4.00,1.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,5.87,0.20,0.39,3.50,1.37,0.01,4.00,0.03,0.00,0.00,0.00,0.00,202.00,202.00,0.01
0.00,1.00,149.95,0.00,0.05,2.33,0.10,0.31,1.25,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,7.50,0.23,0.36,2.36,0.84,0.01,8.00,0.06,0.00,0.00,0.00,0.00,202.00,202.00,0.00
-0.00,1.00,138.29,-0.42,0.05,2.33,0.10,0.31,1.25,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,7.50,0.23,0.36,2.36,0.84,0.01,8.00,0.06,0.00,0.00,0.00,0.00,203.00,203.00,0.02
-0.00,1.00,150.01,-0.23,0.05,2.33,0.10,0.31,1.25,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,7.50,0.23,0.36,2.36,0.84,0.01,8.00,0.06,0.00,0.00,0.00,0.00,202.00,202.00,0.01
0.00,1.00,159.12,0.00,0.05,2.33,0.10,0.31,1.25,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,7.50,0.23,0.36,2.36,0.84,0.01,8.00,0.06,0.00,0.00,0.00,1.00,203.25,203.25,0.00
0.00,1.00,164.99,0.00,0.04,12.89,0.52,0.34,2.58,0.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,5.95,0.20,0.33,4.01,1.33,0.01,16.10,0.10,0.00,0.00,0.00,1.00,251.12,251.12,0.00
-0.01,1.00,134.81,-0.93,0.04,12.89,0.52,0.34,2.58,0.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,5.95,0.20,0.33,4.01,1.33,0.01,16.10,0.10,0.00,0.00,0.00,1.00,250.00,250.00,0.08
0.00,1.00,169.96,0.00,0.04,12.89,0.52,0.34,2.58,0.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,5.95,0.20,0.33,4.01,1.33,0.01,16.10,0.10,0.00,0.00,0.00,1.00,265.00,265.00,0.00
0.72,1.00,184.99,123.12,0.04,12.89,0.52,0.20,2.58,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,5.95,0.20,0.25,4.01,0.98,0.01,16.10,0.10,0.00,0.00,0.00,0.00,150.00,150.00,2.53
0.96,0.82,184.95,163.00,0.04,11.47,0.47,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.95,0.00,0.33,2.36,0.79,0.01,7.12,0.05,0.00,0.00,0.00,0.00,250.00,250.00,6.22
0.00,0.58,164.00,0.00,0.04,11.47,0.47,0.37,1.00,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,5.95,0.20,0.33,2.36,0.79,0.01,7.12,0.05,0.00,0.00,0.00,0.00,223.50,223.50,0.00
0.00,0.58,150.00,0.00,0.04,11.47,0.47,0.37,1.00,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,5.95,0.20,0.33,2.36,0.79,0.01,7.12,0.05,0.00,0.00,0.00,0.00,223.50,223.50,0.00
0.00,0.58,150.01,0.00,0.04,11.47,0.47,0.37,1.00,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,5.95,0.20,0.33,2.36,0.79,0.01,7.12,0.05,0.00,0.00,0.00,0.00,166.00,166.00,0.00
-1.00,0.58,130.10,-130.10,0.05,1.58,0.07,0.39,1.10,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,6.95,0.21,0.00,2.55,0.00,-0.00,6.00,-0.00,0.00,0.00,0.00,0.00,193.68,193.68,6.36
0.00,0.81,150.03,0.00,0.05,1.58,0.07,0.39,1.10,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,6.95,0.21,0.33,2.55,0.83,0.01,6.00,0.05,0.00,0.00,0.00,0.00,177.51,177.51,0.00
0.97,0.81,185.25,165.21,0.00,1.58,0.00,0.00,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,6.95,0.21,0.33,2.55,0.83,0.01,6.00,0.05,0.00,0.00,0.00,0.00,42.00,42.00,13.86
1.00,0.57,192.79,177.74,0.00,1.58,0.00,0.00,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,6.95,-0.00,0.33,2.55,0.83,0.01,6.00,0.05,0.00,0.00,0.00,0.00,28.50,28.50,16.43
0.00,0.32,164.70,0.00,0.05,3.08,0.14,0.42,5.46,2.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,7.50,0.18,0.45,2.90,1.30,0.01,3.00,0.03,0.00,0.00,0.00,0.00,-33.27,-33.27,0.00
0.00,0.32,147.38,0.00,0.05,3.08,0.14,0.42,5.46,2.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,7.50,0.18,0.45,2.90,1.30,0.01,3.00,0.03,0.00,0.00,0.00,0.00,-91.86,-91.86,0.00
-1.00,0.32,121.43,-121.43,0.05,3.08,0.14,0.41,5.46,2.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,7.50,0.18,-0.00,2.90,-0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,-55.00,-55.00,17.64
-1.00,0.54,125.27,-125.27,0.05,3.08,0.14,0.42,5.46,2.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,7.50,0.18,0.00,2.90,0.00,-0.00,3.00,-0.00,0.00,0.00,0.00,0.00,5.05,5.05,12.02
0.00,0.77,139.96,0.00,0.05,2.03,0.09,0.37,1.10,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,5.78,0.20,0.41,3.00,1.22,0.01,4.00,0.03,0.00,0.00,0.00,0.00,10.00,10.00,0.00
-1.00,0.77,125.91,-125.91,0.05,2.03,0.09,0.37,1.10,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,5.78,0.20,0.00,3.00,0.00,-0.00,4.00,-0.00,0.00,0.00,0.00,0.00,-24.89,-24.89,15.08
-0.00,1.00,142.10,-0.24,0.05,2.03,0.09,0.37,1.10,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,5.78,0.20,0.41,3.00,1.22,0.01,4.00,0.03,0.00,0.00,0.00,0.00,10.21,10.21,0.02
