BattSchedule_MW,SOC_percent,EnergyPriceDA_USDperMWh,EnergyProfit_USD,DRHCapacity,DRHPrice_USDperMW,DRHRev_USD,NQRCapacity,NQRPrice_USDperMW,NQRRev_USD,DCHCapacity,DCHPrice_USDperMW,DCHRev_USD,DMHCapacity,DMHPrice_USDperMW,DMHRev_USD,DMLCapacity,DMLPrice_USDperMW,DMLRev_USD,DCLCapacity,DCLPrice_USDperMW,DCLRev_USD,DRLCapacity,DRLPrice_USDperMW,DRLRev_USD,PQRCapacity,PQRPrice_USDperMW,PQRRev_USD,CapacityObligation,BMBuyPrice,BMSellPrice,BMBuyBackValue_USD
0.20,0.50,46.60,8.58,0.00,-1.70,-0.00,0.00,0.00,0.00,0.25,1.49,0.34,0.04,-0.42,-0.02,0.04,3.11,0.13,0.25,1.14,0.28,0.03,9.69,0.28,0.00,0.00,0.00,0.00,95.00,95.00,2.90
0.00,0.10,43.42,0.03,0.00,-1.70,-0.00,0.00,0.00,0.00,0.25,1.49,0.34,0.01,-0.42,-0.01,0.04,3.11,0.13,0.25,1.14,0.28,0.03,9.69,0.28,0.00,0.00,0.00,0.00,93.63,93.63,0.00
0.00,0.10,18.03,0.00,0.00,-1.70,-0.00,0.00,0.00,0.00,0.25,1.49,0.34,0.00,-0.42,-0.00,0.04,3.11,0.13,0.25,1.14,0.28,0.03,9.69,0.28,0.00,0.00,0.00,0.00,105.00,105.00,0.00
-0.07,0.10,0.15,-0.01,0.09,2.17,0.18,0.00,0.00,0.00,0.22,5.00,0.99,0.04,3.59,0.14,0.04,3.49,0.15,0.25,0.78,0.19,0.04,7.65,0.33,0.00,0.00,0.00,0.00,99.00,99.00,2.20
-0.42,0.24,-0.29,0.12,0.09,2.17,0.18,0.00,0.00,0.00,0.25,5.00,1.15,0.04,3.59,0.14,0.04,3.49,0.15,0.25,0.78,0.19,0.04,7.65,0.33,0.00,0.00,0.00,0.00,50.00,50.00,6.25
-0.00,1.00,-0.20,0.00,0.09,2.17,0.18,0.00,0.00,0.00,0.25,5.00,1.15,0.04,3.59,0.14,0.04,3.49,0.15,0.25,0.78,0.19,0.04,7.65,0.33,0.00,0.00,0.00,0.00,49.55,49.55,0.03
-0.00,1.00,1.13,-0.00,0.09,2.17,0.18,0.00,0.00,0.00,0.25,5.00,1.15,0.04,3.59,0.14,0.04,3.49,0.15,0.25,0.78,0.19,0.04,7.65,0.33,0.00,0.00,0.00,0.00,98.50,98.50,0.06
-0.00,1.00,3.76,-0.01,0.09,3.94,0.33,0.00,0.00,0.00,0.25,2.31,0.53,0.04,2.85,0.11,0.04,3.96,0.17,0.25,1.34,0.33,0.06,10.55,0.63,0.00,0.00,0.00,0.00,98.50,98.50,0.04
-0.00,1.00,9.99,-0.01,0.09,3.94,0.33,0.00,0.00,0.00,0.25,2.31,0.53,0.04,2.85,0.11,0.04,3.96,0.17,0.25,1.34,0.33,0.06,10.55,0.63,0.00,0.00,0.00,0.00,54.50,54.50,0.02
-0.00,1.00,30.42,-0.04,0.09,3.94,0.33,0.00,0.00,0.00,0.25,2.31,0.53,0.04,2.85,0.11,0.04,3.96,0.17,0.25,1.34,0.33,0.06,10.55,0.63,0.00,0.00,0.00,0.00,92.00,92.00,0.03
0.11,1.00,71.13,7.01,0.09,3.94,0.33,0.00,0.00,0.00,0.25,2.31,0.53,0.04,2.85,0.11,0.04,3.96,0.17,0.25,1.34,0.33,0.06,10.55,0.63,0.00,0.00,0.00,0.00,92.00,92.00,0.67
-0.11,0.78,32.01,-3.67,0.00,-5.57,-0.00,0.00,0.00,0.00,0.25,1.25,0.29,0.04,0.17,0.01,0.04,4.44,0.19,0.25,1.25,0.31,0.08,10.50,0.80,0.00,0.00,0.00,0.00,92.00,92.00,2.06
0.00,1.00,53.00,0.00,0.00,-5.57,-0.00,0.00,0.00,0.00,0.25,1.25,0.29,0.04,0.17,0.01,0.04,4.44,0.19,0.25,1.25,0.31,0.08,10.50,0.80,0.00,0.00,0.00,0.00,53.50,53.50,0.00
0.00,1.00,79.04,0.19,0.00,-5.57,-0.00,0.00,0.00,0.00,0.25,1.25,0.29,0.04,0.17,0.01,0.04,4.44,0.19,0.25,1.25,0.31,0.08,10.50,0.80,0.00,0.00,0.00,0.00,93.50,93.50,0.01
