BattSchedule_MW,SOC_percent,EnergyPriceDA_USDperMWh,EnergyProfit_USD,DRHCapacity,DRHPrice_USDperMW,DRHRev_USD,NQRCapacity,NQRPrice_USDperMW,NQRRev_USD,DCHCapacity,DCHPrice_USDperMW,DCHRev_USD,DMHCapacity,DMHPrice_USDperMW,DMHRev_USD,DMLCapacity,DMLPrice_USDperMW,DMLRev_USD,DCLCapacity,DCLPrice_USDperMW,DCLRev_USD,DRLCapacity,DRLPrice_USDperMW,DRLRev_USD,PQRCapacity,PQRPrice_USDperMW,PQRRev_USD,CapacityObligation,BMBuyPrice,BMSellPrice,BMBuyBackValue_USD
0.80,0.50,46.60,34.40,0.00,-1.70,-0.00,0.00,0.00,0.00,0.20,1.49,0.27,0.00,-0.42,-0.00,0.04,3.11,0.13,0.30,1.14,0.34,0.03,9.69,0.28,0.00,0.00,0.00,0.00,95.00,95.00,11.63
0.00,0.10,43.42,0.04,0.00,-1.70,-0.00,0.00,0.00,0.00,0.30,1.49,0.41,0.00,-0.42,-0.00,0.04,3.11,0.13,0.30,1.14,0.34,0.03,9.69,0.28,0.00,0.00,0.00,0.00,93.63,93.63,0.00
0.00,0.10,18.03,0.00,0.00,-1.70,-0.00,0.00,0.00,0.00,0.30,1.49,0.41,0.00,-0.42,-0.00,0.04,3.11,0.13,0.30,1.14,0.34,0.03,9.69,0.28,0.00,0.00,0.00,0.00,105.00,105.00,0.00
-0.62,0.10,0.15,-0.09,0.09,2.17,0.18,0.00,0.00,0.00,0.25,5.00,1.17,0.04,3.59,0.14,0.04,3.49,0.15,0.29,0.78,0.23,0.04,7.65,0.33,0.00,0.00,0.00,0.00,99.00,99.00,18.43
-0.71,0.39,-0.29,0.21,0.09,2.17,0.18,0.00,0.00,0.00,0.35,5.00,1.61,0.04,3.59,0.14,0.04,3.49,0.15,0.20,0.78,0.16,0.04,7.65,0.33,0.00,0.00,0.00,0.00,50.00,50.00,10.75
-0.62,0.71,-0.20,0.12,0.09,2.17,0.18,0.00,0.00,0.00,0.35,5.00,1.61,0.04,3.59,0.14,0.04,3.49,0.15,0.29,0.78,0.23,0.04,7.65,0.33,0.00,0.00,0.00,0.00,49.55,49.55,9.28
-0.00,1.00,1.13,-0.00,0.09,2.17,0.18,0.00,0.00,0.00,0.35,5.00,1.61,0.04,3.59,0.14,0.04,3.49,0.15,0.29,0.78,0.23,0.04,7.65,0.33,0.00,0.00,0.00,0.00,98.50,98.50,0.10
-0.00,1.00,3.76,-0.01,0.09,3.94,0.33,0.00,0.00,0.00,0.35,2.31,0.74,0.04,2.85,0.11,0.04,3.96,0.17,0.28,1.34,0.38,0.06,10.55,0.63,0.00,0.00,0.00,0.00,98.50,98.50,0.09
-0.00,1.00,9.99,-0.03,0.09,3.94,0.33,0.00,0.00,0.00,0.35,2.31,0.74,0.04,2.85,0.11,0.04,3.96,0.17,0.28,1.34,0.38,0.06,10.55,0.63,0.00,0.00,0.00,0.00,54.50,54.50,0.04
-0.00,1.00,30.42,-0.09,0.09,3.94,0.33,0.00,0.00,0.00,0.35,2.31,0.74,0.04,2.85,0.11,0.04,3.96,0.17,0.28,1.34,0.38,0.06,10.55,0.63,0.00,0.00,0.00,0.00,92.00,92.00,0.06
0.81,1.00,71.13,52.88,0.09,3.94,0.33,0.00,0.00,0.00,0.06,2.31,0.12,0.04,2.85,0.11,0.04,3.96,0.17,0.07,1.34,0.10,0.06,10.55,0.63,0.00,0.00,0.00,0.00,92.00,92.00,5.05
-0.88,0.60,32.01,-28.15,0.00,-5.57,-0.00,0.00,0.00,0.00,0.33,1.25,0.37,0.00,0.17,0.00,0.04,4.44,0.19,0.00,1.25,0.00,0.08,10.50,0.80,0.00,0.00,0.00,0.00,92.00,92.00,15.83
0.00,1.00,53.00,0.00,0.00,-5.57,-0.00,0.00,0.00,0.00,0.33,1.25,0.37,0.04,0.17,0.01,0.04,4.44,0.19,0.27,1.25,0.34,0.08,10.50,0.80,0.00,0.00,0.00,0.00,53.50,53.50,0.00
0.00,1.00,79.04,0.03,0.00,-5.57,-0.00,0.00,0.00,0.00,0.33,1.25,0.37,0.04,0.17,0.01,0.04,4.44,0.19,0.27,1.25,0.34,0.08,10.50,0.80,0.00,0.00,0.00,0.00,93.50,93.50,0.00
0.00,1.00,64.84,0.00,0.00,-5.57,-0.00,0.00,0.00,0.00,0.33,1.25,0.37,0.04,0.17,0.01,0.04,4.44,0.19,0.27,1.25,0.34,0.08,10.50,0.80,0.00,0.00,0.00,0.00,101.50,101.50,0.00
0.00,1.00,79.91,0.04,0.00,-5.92,-0.00,0.00,0.00,0.00,0.28,2.21,0.57,0.04,1.11,0.04,0.04,8.00,0.31,0.27,5.61,1.51,0.06,13.33,0.75,0.00,0.00,0.00,1.00,40.00,40.00,0.00
0.81,1.00,96.28,71.56,0.00,-5.92,-0.00,0.00,0.00,0.00,0.19,2.21,0.39,0.00,1.11,0.00,0.04,8.00,0.31,0.17,5.61,0.97,0.06,13.33,0.75,0.00,0.00,0.00,1.00,38.45,38.45,13.99
1.00,0.60,107.47,98.81,0.00,-5.92,-0.00,0.00,0.00,0.00,0.00,2.21,0.00,0.00,1.11,0.00,0.04,8.00,0.31,0.27,5.61,1.51,0.06,13.33,0.75,0.00,0.00,0.00,0.00,95.35,95.35,3.63
0.00,0.10,84.80,0.08,0.00,-5.92,-0.00,0.00,0.00,0.00,0.26,2.21,0.52,0.04,1.11,0.04,0.04,8.00,0.31,0.27,5.61,1.51,0.06,13.33,0.75,0.00,0.00,0.00,0.00,52.98,52.98,0.00
0.00,0.10,72.11,0.08,0.00,-5.50,-0.00,0.00,0.00,0.00,0.29,1.10,0.29,0.00,-0.79,-0.00,0.04,4.93,0.21,0.28,1.73,0.48,0.04,13.53,0.58,0.00,0.00,0.00,0.00,12.86,12.86,0.02
0.00,0.10,48.13,0.05,0.00,-5.50,-0.00,0.00,0.00,0.00,0.29,1.10,0.29,0.00,-0.79,-0.00,0.04,4.93,0.21,0.28,1.73,0.48,0.04,13.53,0.58,0.00,0.00,0.00,0.00,10.00,10.00,0.01
0.00,0.10,45.80,0.05,0.00,-5.50,-0.00,0.00,0.00,0.00,0.29,1.10,0.29,0.00,-0.79,-0.00,0.04,4.93,0.21,0.28,1.73,0.48,0.04,13.53,0.58,0.00,0.00,0.00,0.00,5.00,5.00,0.01
0.00,0.10,26.48,0.00,0.00,-5.50,-0.00,0.00,0.00,0.00,0.29,1.10,0.29,0.00,-0.79,-0.00,0.04,4.93,0.21,0.28,1.73,0.48,0.04,13.53,0.58,0.00,0.00,0.00,0.00,-17.50,-17.50,0.00
-0.31,0.10,6.00,-1.87,0.00,-2.25,-0.00,0.00,0.00,0.00,0.31,1.40,0.39,0.00,-0.19,-0.00,0.04,2.47,0.10,0.30,0.95,0.28,0.04,5.65,0.23,0.00,0.00,0.00,0.00,-12.51,-12.51,1.73
0.00,0.25,12.92,0.00,0.00,-2.25,-0.00,0.00,0.00,0.00,0.35,1.40,0.45,0.00,-0.19,-0.00,0.04,2.47,0.10,0.30,0.95,0.28,0.04,5.65,0.23,0.00,0.00,0.00,0.00,-45.54,-45.54,0.00
0.00,0.25,12.43,0.00,0.00,-2.25,-0.00,0.00,0.00,0.00,0.35,1.40,0.45,0.00,-0.19,-0.00,0.04,2.47,0.10,0.30,0.95,0.28,0.04,5.65,0.23,0.00,0.00,0.00,0.00,-37.88,-37.88,0.00
-0.73,0.25,4.32,-3.13,0.00,-2.25,-0.00,0.00,0.00,0.00,0.35,1.40,0.45,0.00,-0.19,-0.00,0.04,2.47,0.10,0.19,0.95,0.18,0.04,5.65,0.23,0.00,0.00,0.00,0.00,-37.16,-37.16,9.02
-0.92,0.58,3.05,-2.79,0.00,0.00,0.00,0.00,0.00,0.00,0.35,4.07,1.31,0.04,3.97,0.15,0.04,3.87,0.16,0.00,0.80,0.00,0.04,5.00,0.20,0.00,0.00,0.00,0.00,-29.56,-29.56,8.96
-0.00,1.00,6.51,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.35,4.07,1.31,0.04,3.97,0.15,0.04,3.87,0.16,0.29,0.80,0.23,0.04,5.00,0.20,0.00,0.00,0.00,0.00,-29.56,-29.56,0.00
-0.00,1.00,26.01,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.35,4.07,1.31,0.04,3.97,0.15,0.04,3.87,0.16,0.29,0.80,0.23,0.04,5.00,0.20,0.00,0.00,0.00,0.00,-5.90,-5.90,0.00
0.00,1.00,56.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,4.07,1.31,0.04,3.97,0.15,0.04,3.87,0.16,0.29,0.80,0.23,0.04,5.00,0.20,0.00,0.00,0.00,0.00,26.23,26.23,0.00
0.00,1.00,55.09,0.00,0.00,-4.32,-0.00,0.00,0.00,0.00,0.35,1.23,0.40,0.00,0.11,0.00,0.04,4.12,0.17,0.28,1.34,0.37,0.06,8.52,0.49,0.00,0.00,0.00,0.00,33.72,33.72,0.00
0.00,1.00,63.71,0.00,0.00,-4.32,-0.00,0.00,0.00,0.00,0.35,1.23,0.40,0.04,0.11,0.00,0.04,4.12,0.17,0.28,1.34,0.37,0.06,8.52,0.49,0.00,0.00,0.00,0.00,8.03,8.03,0.00
0.00,1.00,74.00,0.00,0.00,-4.32,-0.00,0.00,0.00,0.00,0.35,1.23,0.40,0.04,0.11,0.00,0.04,4.12,0.17,0.28,1.34,0.37,0.06,8.52,0.49,0.00,0.00,0.00,0.00,6.06,6.06,0.00
0.00,1.00,68.00,0.00,0.00,-4.32,-0.00,0.00,0.00,0.00,0.35,1.23,0.40,0.04,0.11,0.00,0.04,4.12,0.17,0.28,1.34,0.37,0.06,8.52,0.49,0.00,0.00,0.00,0.00,59.88,59.88,0.00
0.00,1.00,70.59,0.00,0.00,-6.58,-0.00,0.00,0.00,0.00,0.27,0.53,0.13,0.00,-1.22,-0.00,0.04,3.96,0.17,0.25,1.05,0.26,0.07,9.45,0.65,0.00,0.00,0.00,0.00,10.50,10.50,0.00
0.00,1.00,86.95,0.06,0.00,-6.58,-0.00,0.00,0.00,0.00,0.27,0.53,0.13,0.00,-1.22,-0.00,0.04,3.96,0.17,0.25,1.05,0.26,0.07,9.45,0.65,0.00,0.00,0.00,0.00,67.25,67.25,0.00
0.00,1.00,89.71,0.12,0.00,-6.58,-0.00,0.00,0.00,0.00,0.27,0.53,0.13,0.00,-1.22,-0.00,0.04,3.96,0.17,0.25,1.05,0.26,0.07,9.45,0.65,0.00,0.00,0.00,0.00,71.88,71.88,0.01
0.50,1.00,81.61,37.25,0.00,-6.58,-0.00,0.00,0.00,0.00,0.27,0.53,0.13,0.00,-1.22,-0.00,0.04,3.96,0.17,0.25,1.05,0.26,0.07,9.45,0.65,0.00,0.00,0.00,1.00,96.41,96.41,2.20
0.00,0.75,72.24,0.00,0.00,-7.10,-0.00,0.00,0.00,0.00,0.27,1.20,0.29,0.05,-0.17,-0.01,0.04,5.69,0.24,0.25,1.99,0.49,0.06,10.61,0.61,0.00,0.00,0.00,1.00,104.75,104.75,0.00
0.00,0.75,80.52,0.00,0.00,-7.10,-0.00,0.00,0.00,0.00,0.27,1.20,0.29,0.05,-0.17,-0.01,0.04,5.69,0.24,0.25,1.99,0.49,0.06,10.61,0.61,0.00,0.00,0.00,1.00,99.75,99.75,0.00
0.99,0.75,84.05,76.29,0.00,-7.10,-0.00,0.00,0.00,0.00,0.01,1.20,0.01,0.00,-0.17,-0.00,0.04,5.69,0.24,0.25,1.99,0.49,0.06,10.61,0.61,0.00,0.00,0.00,1.00,97.00,97.00,3.82
0.00,0.26,65.21,0.00,0.00,-7.10,-0.00,0.00,0.00,0.00,0.27,1.20,0.29,0.05,-0.17,-0.01,0.04,5.69,0.24,0.25,1.99,0.49,0.06,10.61,0.61,0.00,0.00,0.00,1.00,98.00,98.00,0.00
0.00,0.26,67.98,0.00,0.00,-4.75,-0.00,0.00,0.00,0.00,0.33,0.81,0.24,0.00,-0.83,-0.00,0.04,4.63,0.19,0.28,1.30,0.36,0.06,8.50,0.49,0.00,0.00,0.00,1.00,104.16,104.16,0.00
0.00,0.26,69.55,0.00,0.00,-4.75,-0.00,0.00,0.00,0.00,0.33,0.81,0.24,0.00,-0.83,-0.00,0.04,4.63,0.19,0.28,1.30,0.36,0.06,8.50,0.49,0.00,0.00,0.00,1.00,64.03,64.03,0.00
0.00,0.26,59.27,0.00,0.00,-4.75,-0.00,0.00,0.00,0.00,0.33,0.81,0.24,0.00,-0.83,-0.00,0.04,4.63,0.19,0.28,1.30,0.36,0.06,8.50,0.49,0.00,0.00,0.00,0.00,33.00,33.00,0.00
